case_id,scale,variant,distribution,seed,customers,trucks,hubs,drones_per_truck,total_drones,status,solver_status,objective_full,lower_bound_shifted,lower_bound_full,upper_bound_shifted,upper_bound_full,gap,gap_full,gap_shifted,raw_delay_square_sum,raw_return_time_sum,raw_operating_cost,normalized_delay,normalized_return_time,normalized_cost,weighted_delay,weighted_return_time,weighted_cost,runtime_seconds,bpc_runtime_seconds,worker_overhead_seconds,instance_generation_time_seconds,bpc_wall_time_seconds,service_metrics_time_seconds,output_write_time_seconds,python_current_allocated_mb,python_peak_allocated_mb,nodes_processed,rmp_solves,farkas_certificate_rhs,farkas_certificate_max_column_activity,phase_i_solves,phase_i_columns_added,phase_i_uncovered_customers,seed_pricing_calls,standard_pricing_calls,farkas_pricing_calls,repair_pricing_calls,columns_added_standard,columns_added_farkas,duplicate_columns_rejected,duplicate_merge_events,sr_cuts_added,pricing_labels_generated,pricing_labels_dominated,pricing_labels_purged,pricing_stale_labels_skipped,pricing_labels_pruned,pricing_standard_bound_pruned,pricing_farkas_bound_pruned,pricing_complete_routes_generated,pricing_max_queue_size,pricing_diagnostics_elapsed_seconds,pricing_max_call_elapsed_seconds,pricing_forward_labels_generated,pricing_backward_labels_generated,pricing_backward_dominance_tests,pricing_backward_labels_dominated,pricing_join_pairs_tested,pricing_joined_routes_accepted,pricing_forward_labeling_time,pricing_backward_labeling_time,pricing_join_time,pricing_parallel_calls,pricing_parallel_workers_max,pricing_signature_cache_hits,pricing_signature_cache_misses,pricing_core_signature_cache_hits,pricing_core_signature_cache_misses,pricing_active_signature_cache_hits,pricing_active_signature_cache_misses,pricing_sr_coeff_cache_hits,pricing_sr_coeff_cache_misses,pricing_active_sr_key_cache_hits,pricing_active_sr_key_cache_misses,pricing_active_sr_coeffs_computed,pricing_triplet_masks_built,pricing_dominance_prefilter_pairs,pricing_dominance_prefilter_rejected,pricing_dominance_bucket_pairs_considered,pricing_dominance_bucket_pairs_rejected,pricing_dominance_bucket_candidate_pairs,pricing_backward_full_dominance_tests,pricing_join_prefilter_pairs,pricing_join_prefilter_rejected,pricing_join_bucket_pairs_considered,pricing_join_bucket_pairs_rejected,pricing_join_bucket_candidate_pairs,pricing_join_label_pairs_materialized,pricing_join_full_decodes,pricing_lazy_rejected_before_decode,pricing_fully_decoded_routes,pricing_duplicate_equivalent_rejected,pricing_cost_dominated_rejected,pricing_signature_build_time,pricing_sr_coeff_build_time,pricing_duplicate_lookup_time,pricing_route_decode_time,pricing_reduced_cost_verification_time,route_pool_hydration_time,route_signature_build_time,sr_coeff_build_time,duplicate_lookup_time,rmp_column_insertion_time,progress_serialization_time,signature_cache_hits,signature_cache_misses,core_signature_cache_hits,core_signature_cache_misses,active_signature_cache_hits,active_signature_cache_misses,sr_coeff_cache_hits,sr_coeff_cache_misses,active_sr_key_cache_hits,active_sr_key_cache_misses,active_sr_coeffs_computed,triplet_masks_built,duplicate_equivalent_columns_rejected,cost_dominated_columns_rejected,cost_dominated_columns_removed,total_routes,global_pool_routes,max_node_columns,max_active_sr,max_active_sr_version,branching_nodes,child_nodes_created,customer_pair_branches,service_mode_branches,launch_pad_branches,transformed_arc_branches,route_variable_branches,root_closed,best_reduced_cost_at_stop,adaptive_batch_size_min,adaptive_batch_size_max,adaptive_batch_size_last,adaptive_batch_increases,adaptive_batch_decreases,certification_pricing_passes,certification_pricing_passes_with_columns,root_productive_pricing_calls,root_extraction_time,root_compact_status,root_model_build_time,root_model_solve_time,root_route_decode_time,root_compact_non_solver_time,rmp_time,phase_i_time,seed_pricing_time,standard_pricing_time,farkas_pricing_time,repair_pricing_time,heuristic_time,heuristic_calls,preclosure_heuristic_calls,preclosure_heuristic_columns_generated,preclosure_heuristic_incumbent_updates,time_to_first_incumbent,heuristic_columns_generated,heuristic_incumbent_updates,heuristic_hard_pool_solves,heuristic_hard_pool_time,heuristic_hard_pool_feasible_solves,heuristic_soft_pool_solves,heuristic_soft_pool_time,heuristic_soft_pool_feasible_solves,heuristic_repair_customers,heuristic_repair_columns_generated,heuristic_max_node_pool_routes,heuristic_max_support_routes,selected_trucks,drone_sorties,service_feasible,mean_delay,max_delay,delay_square_sum,truck_served_customers,drone_served_customers,max_payload,waiting_blocks,total_wait_time,mean_wait_time,max_wait_time,last_progress_event,last_progress_node,last_progress_columns,last_progress_active_sr,error
small_full_PS_seed_1,small,full,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.1859442958583672,0.05105000973148316,0.1859442958583672,0.05105000973148316,0.0,0.0,0.0,6038.883339254419,90.124788689334,20.0,0.026420015368423547,0.13494001194704577,0.0,0.01056800614736942,0.04048200358411373,0.0,27.614240646362305,27.584237575531006,0.030003070831298828,0.026002883911132812,27.585237503051758,0.0030002593994140625,0.00500035285949707,1.410726547241211,8.692604064941406,1,4,,,0,0,0,0,4,0,0,96,0,0,0,0,5955,214,0,90,18,18,0,3245,597,26.281744241714478,13.011497020721436,611,5344,1022612,930,4295,96,0.08008146286010742,1.847287654876709,0.3622562885284424,860,2,96,748,0,374,96,748,283,91,283,91,0,0,1022612,779932,9538786,8489196,1049590,242680,4295,1195,22908,19037,4295,4295,96,3149,96,0,0,0.017000675201416016,0.00099945068359375,0.010996580123901367,0.0240175724029541,0.008996009826660156,0.0029990673065185547,0.00802302360534668,0.0010232925415039062,0.002505064010620117,0.1350080966949463,0.0360112190246582,5232,204,0,102,5232,204,77,25,77,25,0,0,0,0,0,102,102,102,0,0,0,0,0,0,0,0,0,True,-2.0816681711721685e-17,32,64,64,1,1,0,0,3,1.029844045639038,success,0.7006134986877441,0.3262300491333008,0.0009970664978027344,0.7036139965057373,0.026026487350463867,0.0,0.0,26.33584499359131,0.0,0.0,0.0,0,0,0,0,1.033841848373413,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,True,23.919258531479166,65.88437105085663,6038.883339254419,5,0,27.970000000000002,0,0,0.0,0.0,,,,,
medium_full_PS_seed_1,medium,full,PS,1,15,5,2,4,20,time_limit,time_limit,0.023495487364148873,0.0,-0.0842303947820819,0.10772588214623077,0.023495487364148873,4.584960527807854,4.584960527807854,1.0,23397.72236146562,235.06531838642547,40.0,0.005772835778841686,0.07062117684204067,0.0,0.0023091343115366745,0.0211863530526122,0.0,907.406730890274,907.3299400806427,0.07679080963134766,0.025996685028076172,907.367662191391,0.013072013854980469,0.019629955291748047,5.041515350341797,135.56995487213135,1,22,10.0,0.0,7,96,24,6,21,0,3,1320,0,0,0,0,86696,11549,598,209,14,14,0,1164947,26731,865.0427913665771,761.7926247119904,43673,43023,31575111,2676,6790479,1434,6.188414812088013,11.116559267044067,143.89718556404114,49290,2,1530,27436,0,13700,1530,27436,2481,11219,2481,11219,0,0,31575111,31308703,673175380,640922075,32253305,266408,6790479,5631925,1612128,4520362,6790479,6790479,1434,1163513,1434,60,0,1.0540268421173096,0.10561037063598633,0.25264954566955566,0.46164727210998535,0.17857933044433594,0.15703296661376953,0.1407613754272461,0.013532161712646484,0.0,28.11501455307007,0.8243889808654785,1046787,2898,0,1449,1046787,2898,330,1119,330,1119,0,0,0,0,0,1449,1449,1249,0,0,0,0,0,0,0,0,0,False,-0.00372102433094979,32,256,256,18,16,4,4,21,10.761009931564331,timeout,5.690469026565552,5.059103488922119,0.004170894622802734,5.701906442642212,0.8150539398193359,0.06268978118896484,0.3421449661254883,865.3288357257843,0.0,0.5205821990966797,0.809779167175293,11,11,18,5,13.4412682056427,18,5,12,0.09084439277648926,10,6,0.05482983589172363,6,4,18,1249,54,2,0,True,28.633251095428612,86.83510844862859,23397.722361465618,15,0,48.379999999999995,0,0,0.0,0.0,,,,,
large_full_PS_seed_1,large,full,PS,1,25,8,2,4,32,time_limit,time_limit,0.015987034094506525,0.0,-0.10787624230817369,0.12386327640268022,0.015987034094506525,7.7477332987763,7.7477332987763,1.0,27691.67832026633,417.3700401699098,80.0,0.0017384101015868996,0.0509722335129059,0.0,0.0006953640406347598,0.015291670053871768,0.0,916.1770164966583,916.0657176971436,0.11129879951477051,0.0252077579498291,916.1262454986572,0.02556324005126953,0.03084564208984375,2.926913261413574,91.91009998321533,1,42,17.0,0.0,11,160,73,10,41,0,4,2766,0,0,0,0,150899,17461,384,26,0,0,0,2855321,21151,765.1474456787109,338.40081763267517,73797,77102,13141966,2669,4945159,2970,9.243068933486938,17.712547540664673,337.76393938064575,83162,2,3161,95978,0,47961,3161,95978,5408,42553,5408,42553,0,0,13141966,12989412,506770744,493467231,13303513,152554,4945159,2089239,1599341,748851,4945159,4945159,2970,2852351,2970,135,0,3.5676686763763428,0.2403554916381836,0.6202380657196045,0.9554007053375244,0.3316171169281006,0.4999537467956543,0.33768534660339355,0.016255855560302734,0.0,117.8680431842804,2.1100926399230957,4474060,5990,0,2995,4474060,5990,242,2753,242,2753,0,0,0,0,0,2995,2995,2789,0,0,0,0,0,0,0,0,0,False,-0.0013978140286602094,32,256,256,35,33,8,8,41,24.67141628265381,timeout,19.48292589187622,5.173434019088745,0.0,19.497982263565063,2.6249067783355713,0.14918756484985352,0.9158847332000732,764.2537951469421,0.0,1.6511056423187256,2.737470865249634,22,22,44,5,30.485236883163452,44,5,23,0.28101396560668945,21,17,0.31862950325012207,17,4,44,2789,89,4,0,True,24.670825737496454,75.75182721629594,27691.678320266332,25,0,45.78,0,0,0.0,0.0,,,,,
