case_id,scale,variant,distribution,seed,customers,trucks,hubs,drones_per_truck,total_drones,status,solver_status,objective_full,lower_bound_shifted,lower_bound_full,upper_bound_shifted,upper_bound_full,gap,gap_full,gap_shifted,raw_delay_square_sum,raw_return_time_sum,raw_operating_cost,normalized_delay,normalized_return_time,normalized_cost,weighted_delay,weighted_return_time,weighted_cost,runtime_seconds,bpc_runtime_seconds,worker_overhead_seconds,instance_generation_time_seconds,bpc_wall_time_seconds,service_metrics_time_seconds,output_write_time_seconds,python_current_allocated_mb,python_peak_allocated_mb,nodes_processed,rmp_solves,farkas_certificate_rhs,farkas_certificate_max_column_activity,phase_i_solves,phase_i_columns_added,phase_i_uncovered_customers,seed_pricing_calls,standard_pricing_calls,farkas_pricing_calls,repair_pricing_calls,columns_added_standard,columns_added_farkas,duplicate_columns_rejected,duplicate_merge_events,sr_cuts_added,pricing_labels_generated,pricing_labels_dominated,pricing_labels_purged,pricing_stale_labels_skipped,pricing_labels_pruned,pricing_standard_bound_pruned,pricing_farkas_bound_pruned,pricing_complete_routes_generated,pricing_max_queue_size,pricing_diagnostics_elapsed_seconds,pricing_max_call_elapsed_seconds,pricing_forward_labels_generated,pricing_backward_labels_generated,pricing_backward_dominance_tests,pricing_backward_labels_dominated,pricing_join_pairs_tested,pricing_joined_routes_accepted,pricing_forward_labeling_time,pricing_backward_labeling_time,pricing_join_time,pricing_parallel_calls,pricing_parallel_workers_max,pricing_signature_cache_hits,pricing_signature_cache_misses,pricing_core_signature_cache_hits,pricing_core_signature_cache_misses,pricing_active_signature_cache_hits,pricing_active_signature_cache_misses,pricing_sr_coeff_cache_hits,pricing_sr_coeff_cache_misses,pricing_active_sr_key_cache_hits,pricing_active_sr_key_cache_misses,pricing_active_sr_coeffs_computed,pricing_triplet_masks_built,pricing_dominance_prefilter_pairs,pricing_dominance_prefilter_rejected,pricing_dominance_bucket_pairs_considered,pricing_dominance_bucket_pairs_rejected,pricing_dominance_bucket_candidate_pairs,pricing_dominance_compatible_keys_generated,pricing_dominance_compatible_key_lookups,pricing_dominance_bucket_scans_avoided,pricing_dominance_key_generation_time,pricing_dominance_key_cache_hits,pricing_dominance_key_cache_misses,pricing_dominance_small_bypass_calls,pricing_dominance_bypass_calls,pricing_dominance_indexed_activation_count,pricing_dominance_work_estimate,pricing_backward_full_dominance_tests,pricing_join_prefilter_pairs,pricing_join_prefilter_rejected,pricing_join_bucket_pairs_considered,pricing_join_bucket_pairs_rejected,pricing_join_bucket_candidate_pairs,pricing_join_compatible_keys_generated,pricing_join_compatible_key_lookups,pricing_join_bucket_scans_avoided,pricing_join_key_generation_time,pricing_join_key_cache_hits,pricing_join_key_cache_misses,pricing_join_graph_build_time,pricing_join_subbucket_pairs_considered,pricing_join_subbucket_pairs_rejected,pricing_join_small_bypass_calls,pricing_join_local_bypass_calls,pricing_join_cumulative_bypass_calls,pricing_join_indexed_activation_count,pricing_join_work_estimate,pricing_join_candidate_pairs_accepted,pricing_join_label_pairs_materialized,pricing_join_full_decodes,pricing_lazy_rejected_before_decode,pricing_fully_decoded_routes,pricing_duplicate_equivalent_rejected,pricing_cost_dominated_rejected,pricing_signature_build_time,pricing_sr_coeff_build_time,pricing_duplicate_lookup_time,pricing_route_decode_time,pricing_reduced_cost_verification_time,pricing_side_pool_routes_returned,pricing_side_pool_reduced_cost_min,pricing_side_pool_candidates_seen,pricing_side_pool_routes_retained,pricing_side_pool_routes_rejected_by_budget,route_pool_hydration_time,route_signature_build_time,sr_coeff_build_time,duplicate_lookup_time,rmp_column_insertion_time,progress_serialization_time,signature_cache_hits,signature_cache_misses,core_signature_cache_hits,core_signature_cache_misses,active_signature_cache_hits,active_signature_cache_misses,sr_coeff_cache_hits,sr_coeff_cache_misses,active_sr_key_cache_hits,active_sr_key_cache_misses,active_sr_coeffs_computed,triplet_masks_built,column_index_hits,column_index_misses,column_index_replacements,column_index_refreshes,column_index_refresh_time,active_sr_version_refreshes,active_sr_version_refresh_time,duplicate_equivalent_columns_rejected,cost_dominated_columns_rejected,cost_dominated_columns_removed,total_routes,global_pool_routes,max_node_columns,max_active_sr,max_active_sr_version,branching_nodes,child_nodes_created,customer_pair_branches,service_mode_branches,launch_pad_branches,transformed_arc_branches,route_variable_branches,root_closed,best_reduced_cost_at_stop,adaptive_batch_size_min,adaptive_batch_size_max,adaptive_batch_size_last,adaptive_batch_increases,adaptive_batch_decreases,adaptive_batch_window_ratio,adaptive_batch_low_windows,adaptive_batch_high_windows,certification_pricing_passes,certification_pricing_passes_with_columns,root_productive_pricing_calls,root_extraction_time,root_compact_status,root_model_build_time,root_model_solve_time,root_route_decode_time,root_compact_non_solver_time,rmp_time,phase_i_time,seed_pricing_time,standard_pricing_time,farkas_pricing_time,repair_pricing_time,heuristic_time,heuristic_calls,preclosure_heuristic_calls,preclosure_heuristic_columns_generated,preclosure_heuristic_incumbent_updates,time_to_first_incumbent,heuristic_columns_generated,heuristic_incumbent_updates,heuristic_hard_pool_solves,heuristic_hard_pool_time,heuristic_hard_pool_feasible_solves,heuristic_soft_pool_solves,heuristic_soft_pool_time,heuristic_soft_pool_feasible_solves,heuristic_repair_customers,heuristic_repair_columns_generated,heuristic_max_node_pool_routes,heuristic_max_support_routes,side_pool_routes,side_pool_routes_added,side_pool_routes_pruned,side_pool_max_routes,side_pool_prune_time,side_pool_batch_size_last,side_pool_candidates_seen,side_pool_routes_rejected_by_budget,side_pool_per_customer_keep,repair_budget_hit,heuristic_budget_hit,heuristic_stall_count,selected_trucks,drone_sorties,service_feasible,mean_delay,max_delay,delay_square_sum,truck_served_customers,drone_served_customers,max_payload,waiting_blocks,total_wait_time,mean_wait_time,max_wait_time,last_progress_event,last_progress_node,last_progress_columns,last_progress_active_sr,error
small_full_PS_seed_1,small,full,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.1859442958583672,0.05105000973148316,0.1859442958583672,0.05105000973148316,0.0,0.0,0.0,6038.88333925442,90.124788689334,20.0,0.026420015368423554,0.13494001194704577,0.0,0.010568006147369422,0.04048200358411373,0.0,30.328311920166016,30.29816508293152,0.03014683723449707,0.025105953216552734,30.299165964126587,0.0040400028228759766,0.00801229476928711,1.4630861282348633,8.807039260864258,1,4,,,0,0,0,0,4,0,0,96,0,0,0,0,5955,214,0,90,18,18,0,3263,597,28.69119930267334,14.305964946746826,611,5344,1022594,930,17734,96,0.08543848991394043,1.9645886421203613,0.43819141387939453,1131,2,98,752,0,376,98,752,285,91,285,91,0,0,1022594,779917,2075608,1026018,1049590,33942,82780,44084,0.004763364791870117,5954,48,3838,3838,6002,4330561,242677,17734,13690,2910,5598,17734,23180,23180,0,0.0060176849365234375,2878,32,0.1682116985321045,4349,0,2294,2294,2294,1538,11016,4044,17734,98,3165,98,0,0,0.02205348014831543,0.0,0.010299205780029297,0.03214836120605469,0.00682520866394043,2,-0.22586885599079187,2,2,0,0.0029976367950439453,0.0005037784576416016,0.0,0.0025076866149902344,0.07002854347229004,0.05034780502319336,102,204,0,102,102,204,77,25,77,25,0,0,0,96,0,1,0.0005037784576416016,0,0.0,0,0,0,104,102,102,0,0,0,0,0,0,0,0,0,True,-2.0816681711721685e-17,64,64,64,0,0,0.0,0,0,0,0,3,1.3565011024475098,success,0.7601447105407715,0.5933456420898438,0.0009980201721191406,0.763155460357666,0.027289152145385742,0.0,0.0,28.764322996139526,0.0,0.0,0.0,0,0,0,0,1.3610849380493164,0,0,0,0.0,0,0,0.0,0,0,0,0,0,2,2,0,2,0.0,0,2,0,20,0,0,0,1,0,True,23.919258531479166,65.88437105085663,6038.883339254419,5,0,27.970000000000002,0,0,0.0,0.0,,,,,
medium_full_PS_seed_1,medium,full,PS,1,15,5,2,4,20,time_limit,time_limit,0.025281124206588387,0.0,-0.0842303947820819,0.10951151898867029,0.025281124206588387,4.331750364176093,4.331750364176093,1.0,30537.824820775742,245.06266348916864,40.0,0.007534487545835261,0.07422443062751431,0.0,0.0030137950183341047,0.022267329188254293,0.0,902.8417420387268,902.7350871562958,0.10665488243103027,0.025239229202270508,902.779764175415,0.03673863410949707,0.04091048240661621,2.890056610107422,93.09556865692139,1,24,10.0,0.0,7,96,24,6,23,0,13,1143,0,0,0,0,81843,10208,502,136,1,1,0,1042893,19813,877.4244184494019,711.7994990348816,41618,40225,17232087,2491,4261476,1367,6.006547451019287,10.208042860031128,133.73744559288025,48779,2,2742,59533,0,29370,2742,59533,14639,14731,14639,14731,0,0,17232087,17067180,23909743,6295353,17614390,294932,1003470,1604589,0.05878472328186035,51960,605,25463,25463,52565,318122896,164907,4261476,3120005,68712,1220531,5336940,451037,451037,0,0.04648876190185547,64111,474,4.032287836074829,4177240,1072595,16954,16954,16954,42240,5659182,1141471,4261476,1485,1041408,1485,464,0,1.9209706783294678,0.11974596977233887,0.2871074676513672,0.501645565032959,0.18285584449768066,74,-0.012250014956544514,74,74,0,0.17858290672302246,0.13444924354553223,0.004508495330810547,0.0,9.645066499710083,1.2648773193359375,3086,2764,0,1382,3086,2764,306,1076,306,1076,0,0,0,1239,0,5,0.08598899841308594,0,0.0,0,0,0,1447,1382,1295,0,0,0,0,0,0,0,0,0,False,-0.002677468985607081,32,256,256,3,1,0.0060190800636761126,0,0,4,4,23,10.986343622207642,timeout,5.926107883453369,5.050724983215332,0.0029993057250976562,5.93561863899231,0.9676074981689453,0.05776476860046387,0.4699733257293701,874.1499810218811,0.0,3.582778215408325,4.81479811668396,11,11,128,1,87.73784184455872,128,1,15,0.07674121856689453,1,10,0.07661700248718262,10,26,128,1354,39,65,74,9,66,0.017169475555419922,0,74,0,20,14,0,1,2,0,True,34.285257349771534,96.83245355137173,30537.824820775735,15,0,49.769999999999996,0,0,0.0,0.0,,,,,
large_full_PS_seed_1,large,full,PS,1,25,8,2,4,32,time_limit,time_limit,0.10620515525548033,0.0,-0.10787624230817369,0.21408139756365402,0.10620515525548033,2.0157345191829297,2.0157345191829297,1.0,11619.100537100581,517.9367344948821,146.0,0.0007294163073628813,0.06608810736932018,0.28695652173913044,0.00029176652294515257,0.019826432210796052,0.08608695652173913,900.9885582923889,900.8047459125519,0.18381237983703613,0.03030252456665039,900.8807678222656,0.07748794555664062,0.09268617630004883,3.030911445617676,58.26534461975098,1,48,17.0,0.0,11,160,73,10,47,0,49,2312,0,0,0,0,180202,20320,337,21,0,0,0,2225200,10917,819.8473992347717,133.5585961341858,86698,93504,8883049,3506,3224460,3073,11.863627672195435,21.976401567459106,253.79223084449768,95656,2,10290,358497,0,176938,10290,358497,118629,58309,118629,58309,0,0,8883049,8732472,28966486,19966952,8999534,570186,3909338,6147698,0.28917479515075684,105772,3072,74464,74464,108844,63409369,150577,3224460,988011,121443,397144,3369769,777886,777886,3109,0.15776681900024414,118545,2128,7.043041706085205,2830895,145242,43751,43751,43751,89320,728406,2236449,3224460,3548,2221652,3548,2116,0,10.416587829589844,0.4656844139099121,0.7130677700042725,1.141181230545044,0.4276847839355469,222,-0.006321728514499643,222,222,0,0.698249340057373,0.30081605911254883,0.013045787811279297,0.0,38.058303117752075,4.601534366607666,20092,6196,0,3098,20092,6196,584,2514,584,2514,0,0,0,2472,0,13,0.4663832187652588,0,0.0,0,0,0,3308,3098,3090,0,0,0,0,0,0,0,0,0,False,-0.0003433801052573947,32,256,256,3,1,0.027205669615457527,1,0,9,9,47,25.854671955108643,timeout,20.641795873641968,5.183753967285156,0.0,20.670917987823486,3.779981851577759,0.17741870880126953,1.6819207668304443,787.921688079834,0.0,29.646666526794434,37.45812439918518,24,24,601,1,30.62265419960022,601,1,36,0.2570178508758545,1,23,0.37526488304138184,23,71,601,3204,56,118,222,104,139,0.07437562942504883,0,222,0,20,28,0,22,7,1,True,13.65444282556532,64.36772011416926,11619.100537100583,24,1,42.14,1,1.7461853157454938,1.7461853157454938,1.7461853157454938,,,,,
