case_id,scale,variant,distribution,seed,customers,trucks,hubs,drones_per_truck,total_drones,status,solver_status,objective_full,lower_bound_shifted,lower_bound_full,upper_bound_shifted,upper_bound_full,gap,gap_full,gap_shifted,raw_delay_square_sum,raw_return_time_sum,raw_operating_cost,normalized_delay,normalized_return_time,normalized_cost,weighted_delay,weighted_return_time,weighted_cost,runtime_seconds,bpc_runtime_seconds,worker_overhead_seconds,instance_generation_time_seconds,bpc_wall_time_seconds,service_metrics_time_seconds,output_write_time_seconds,python_current_allocated_mb,python_peak_allocated_mb,nodes_processed,rmp_solves,farkas_certificate_rhs,farkas_certificate_max_column_activity,phase_i_solves,phase_i_columns_added,phase_i_uncovered_customers,seed_pricing_calls,standard_pricing_calls,farkas_pricing_calls,repair_pricing_calls,columns_added_standard,columns_added_farkas,duplicate_columns_rejected,duplicate_merge_events,sr_cuts_added,pricing_labels_generated,pricing_labels_dominated,pricing_labels_purged,pricing_stale_labels_skipped,pricing_labels_pruned,pricing_standard_bound_pruned,pricing_farkas_bound_pruned,pricing_complete_routes_generated,pricing_max_queue_size,pricing_diagnostics_elapsed_seconds,pricing_max_call_elapsed_seconds,pricing_forward_labels_generated,pricing_backward_labels_generated,pricing_backward_dominance_tests,pricing_backward_labels_dominated,pricing_join_pairs_tested,pricing_joined_routes_accepted,pricing_forward_labeling_time,pricing_backward_labeling_time,pricing_join_time,pricing_parallel_calls,pricing_parallel_workers_max,pricing_signature_cache_hits,pricing_signature_cache_misses,pricing_core_signature_cache_hits,pricing_core_signature_cache_misses,pricing_active_signature_cache_hits,pricing_active_signature_cache_misses,pricing_sr_coeff_cache_hits,pricing_sr_coeff_cache_misses,pricing_active_sr_key_cache_hits,pricing_active_sr_key_cache_misses,pricing_active_sr_coeffs_computed,pricing_triplet_masks_built,pricing_dominance_prefilter_pairs,pricing_dominance_prefilter_rejected,pricing_dominance_bucket_pairs_considered,pricing_dominance_bucket_pairs_rejected,pricing_dominance_bucket_candidate_pairs,pricing_dominance_compatible_keys_generated,pricing_dominance_compatible_key_lookups,pricing_dominance_bucket_scans_avoided,pricing_dominance_key_generation_time,pricing_dominance_key_cache_hits,pricing_dominance_key_cache_misses,pricing_dominance_small_bypass_calls,pricing_backward_full_dominance_tests,pricing_join_prefilter_pairs,pricing_join_prefilter_rejected,pricing_join_bucket_pairs_considered,pricing_join_bucket_pairs_rejected,pricing_join_bucket_candidate_pairs,pricing_join_compatible_keys_generated,pricing_join_compatible_key_lookups,pricing_join_bucket_scans_avoided,pricing_join_key_generation_time,pricing_join_key_cache_hits,pricing_join_key_cache_misses,pricing_join_graph_build_time,pricing_join_subbucket_pairs_considered,pricing_join_subbucket_pairs_rejected,pricing_join_small_bypass_calls,pricing_join_label_pairs_materialized,pricing_join_full_decodes,pricing_lazy_rejected_before_decode,pricing_fully_decoded_routes,pricing_duplicate_equivalent_rejected,pricing_cost_dominated_rejected,pricing_signature_build_time,pricing_sr_coeff_build_time,pricing_duplicate_lookup_time,pricing_route_decode_time,pricing_reduced_cost_verification_time,pricing_side_pool_routes_returned,pricing_side_pool_reduced_cost_min,route_pool_hydration_time,route_signature_build_time,sr_coeff_build_time,duplicate_lookup_time,rmp_column_insertion_time,progress_serialization_time,signature_cache_hits,signature_cache_misses,core_signature_cache_hits,core_signature_cache_misses,active_signature_cache_hits,active_signature_cache_misses,sr_coeff_cache_hits,sr_coeff_cache_misses,active_sr_key_cache_hits,active_sr_key_cache_misses,active_sr_coeffs_computed,triplet_masks_built,column_index_hits,column_index_misses,column_index_replacements,column_index_refreshes,column_index_refresh_time,active_sr_version_refreshes,active_sr_version_refresh_time,duplicate_equivalent_columns_rejected,cost_dominated_columns_rejected,cost_dominated_columns_removed,total_routes,global_pool_routes,max_node_columns,max_active_sr,max_active_sr_version,branching_nodes,child_nodes_created,customer_pair_branches,service_mode_branches,launch_pad_branches,transformed_arc_branches,route_variable_branches,root_closed,best_reduced_cost_at_stop,adaptive_batch_size_min,adaptive_batch_size_max,adaptive_batch_size_last,adaptive_batch_increases,adaptive_batch_decreases,adaptive_batch_window_ratio,adaptive_batch_low_windows,adaptive_batch_high_windows,certification_pricing_passes,certification_pricing_passes_with_columns,root_productive_pricing_calls,root_extraction_time,root_compact_status,root_model_build_time,root_model_solve_time,root_route_decode_time,root_compact_non_solver_time,rmp_time,phase_i_time,seed_pricing_time,standard_pricing_time,farkas_pricing_time,repair_pricing_time,heuristic_time,heuristic_calls,preclosure_heuristic_calls,preclosure_heuristic_columns_generated,preclosure_heuristic_incumbent_updates,time_to_first_incumbent,heuristic_columns_generated,heuristic_incumbent_updates,heuristic_hard_pool_solves,heuristic_hard_pool_time,heuristic_hard_pool_feasible_solves,heuristic_soft_pool_solves,heuristic_soft_pool_time,heuristic_soft_pool_feasible_solves,heuristic_repair_customers,heuristic_repair_columns_generated,heuristic_max_node_pool_routes,heuristic_max_support_routes,side_pool_routes,side_pool_routes_added,side_pool_routes_pruned,side_pool_max_routes,side_pool_prune_time,side_pool_batch_size_last,selected_trucks,drone_sorties,service_feasible,mean_delay,max_delay,delay_square_sum,truck_served_customers,drone_served_customers,max_payload,waiting_blocks,total_wait_time,mean_wait_time,max_wait_time,last_progress_event,last_progress_node,last_progress_columns,last_progress_active_sr,error
small_full_PS_seed_1,small,full,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.1859442958583672,0.05105000973148316,0.1859442958583672,0.05105000973148316,0.0,0.0,0.0,6038.883339254419,90.124788689334,20.0,0.026420015368423547,0.13494001194704577,0.0,0.01056800614736942,0.04048200358411373,0.0,30.456212759017944,30.422120332717896,0.03409242630004883,0.02909255027770996,30.4241201877594,0.003000020980834961,0.006998538970947266,1.3322792053222656,8.63710880279541,1,4,,,0,0,0,0,4,0,0,96,0,0,0,0,5955,214,0,90,18,18,0,3263,597,28.946298837661743,14.411630630493164,611,5344,1022594,930,23332,96,0.07100367546081543,1.9918015003204346,0.409168004989624,860,2,98,752,0,376,98,752,285,91,285,91,0,0,1022594,779917,9538786,8489196,1049590,0,126864,0,0.0,0,0,9840,242677,23332,20232,0,0,23332,0,0,0,0.0,0,0,0.0,0,0,3832,23332,98,3165,98,0,0,0.01999497413635254,0.0,0.011125802993774414,0.02801203727722168,0.007502317428588867,2,-0.22586885599079187,0.003998756408691406,0.0020003318786621094,0.0,0.002000093460083008,0.06700277328491211,0.04851078987121582,102,204,0,102,102,204,77,25,77,25,0,0,0,96,0,1,0.0,0,0.0,0,0,0,104,102,102,0,0,0,0,0,0,0,0,0,True,-2.0816681711721685e-17,64,64,64,0,0,0.0,0,0,0,0,3,1.245952844619751,success,0.7227089405059814,0.5212435722351074,0.0010001659393310547,0.7247092723846436,0.024580001831054688,0.0,0.0,29.00943875312805,0.0,0.0,0.0,0,0,0,0,1.2512531280517578,0,0,0,0.0,0,0,0.0,0,0,0,0,0,2,2,0,2,0.0,0,1,0,True,23.919258531479166,65.88437105085663,6038.883339254419,5,0,27.97,0,0,0.0,0.0,,,,,
medium_full_PS_seed_1,medium,full,PS,1,15,5,2,4,20,error,error,,,,,,,,,,,,,,,,,,78.42698311805725,,,0.026003122329711914,78.40097999572754,,0.003000497817993164,,13.286535263061523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PermissionError(13, '拒绝访问。')"
large_full_PS_seed_1,large,full,PS,1,25,8,2,4,32,time_limit,time_limit,0.10620515525548033,0.0,-0.10787624230817369,0.21408139756365402,0.10620515525548033,2.0157345191829297,2.0157345191829297,1.0,11619.100537100581,517.9367344948821,146.0,0.0007294163073628813,0.06608810736932018,0.28695652173913044,0.00029176652294515257,0.019826432210796052,0.08608695652173913,900.3690524101257,900.1959600448608,0.17309236526489258,0.03400015830993652,900.2674105167389,0.0676417350769043,0.08154964447021484,2.6676130294799805,42.358017921447754,1,46,17.0,0.0,11,160,73,10,45,0,65,1888,0,0,0,0,161351,14020,226,58,0,0,0,1081786,6547,435.3213641643524,40.102752685546875,65069,96282,5291801,2952,1587452,2575,9.060967683792114,29.411723375320435,123.14178919792175,70742,2,13662,307705,0,150370,13662,307705,100144,50226,100144,50226,0,0,5291801,4890562,188913881,183568633,5345248,0,9355290,0,0.0,0,0,189402,401239,1587452,500252,0,0,1587452,0,0,0,0.0,0,0,0.0,0,0,102204,1587452,2982,1078804,2982,3712,0,9.639139890670776,0.3719902038574219,0.8024177551269531,0.956937313079834,0.35959959030151367,274,-0.006321728514499643,0.6649158000946045,0.259427547454834,0.011009693145751953,0.0,30.524940490722656,5.089568138122559,20083,5200,0,2600,20083,5200,574,2026,574,2026,0,0,0,2048,0,16,0.43491673469543457,0,0.0,0,0,0,4706,4456,2472,0,0,0,0,0,0,0,0,0,False,-3.9700042739699173,32,128,128,2,1,0.06818362225736278,0,0,8,8,45,26.78873920440674,timeout,21.558470249176025,5.212269067764282,0.0,21.576470136642456,3.582594871520996,0.16624045372009277,1.5956494808197021,319.42273139953613,0.0,110.62020421028137,511.85249495506287,21,21,527,1,31.38432240486145,527,1,35,0.2526211738586426,1,19,0.3407552242279053,19,51,527,2723,56,273,273,0,273,0.0,1,7,1,True,13.65444282556532,64.36772011416926,11619.100537100583,24,1,42.14,1,1.7461853157454938,1.7461853157454938,1.7461853157454938,,,,,
