case_id,scale,variant,distribution,seed,customers,trucks,hubs,drones_per_truck,total_drones,status,solver_status,objective_full,lower_bound_shifted,lower_bound_full,upper_bound_shifted,upper_bound_full,gap,gap_full,gap_shifted,raw_delay_square_sum,raw_return_time_sum,raw_operating_cost,normalized_delay,normalized_return_time,normalized_cost,weighted_delay,weighted_return_time,weighted_cost,runtime_seconds,bpc_runtime_seconds,worker_overhead_seconds,instance_generation_time_seconds,bpc_wall_time_seconds,service_metrics_time_seconds,output_write_time_seconds,python_current_allocated_mb,python_peak_allocated_mb,nodes_processed,rmp_solves,farkas_certificate_rhs,farkas_certificate_max_column_activity,phase_i_solves,phase_i_columns_added,phase_i_uncovered_customers,seed_pricing_calls,standard_pricing_calls,farkas_pricing_calls,repair_pricing_calls,columns_added_standard,columns_added_farkas,duplicate_columns_rejected,duplicate_merge_events,sr_cuts_added,pricing_labels_generated,pricing_labels_dominated,pricing_labels_purged,pricing_stale_labels_skipped,pricing_labels_pruned,pricing_standard_bound_pruned,pricing_farkas_bound_pruned,pricing_complete_routes_generated,pricing_max_queue_size,pricing_diagnostics_elapsed_seconds,pricing_max_call_elapsed_seconds,pricing_forward_labels_generated,pricing_backward_labels_generated,pricing_backward_dominance_tests,pricing_backward_labels_dominated,pricing_join_pairs_tested,pricing_joined_routes_accepted,pricing_forward_labeling_time,pricing_backward_labeling_time,pricing_join_time,pricing_parallel_calls,pricing_parallel_workers_max,total_routes,global_pool_routes,max_node_columns,max_active_sr,branching_nodes,child_nodes_created,customer_pair_branches,service_mode_branches,launch_pad_branches,transformed_arc_branches,route_variable_branches,root_extraction_time,root_model_build_time,root_model_solve_time,root_route_decode_time,root_compact_non_solver_time,rmp_time,phase_i_time,seed_pricing_time,standard_pricing_time,farkas_pricing_time,repair_pricing_time,heuristic_time,heuristic_calls,heuristic_columns_generated,heuristic_incumbent_updates,heuristic_hard_pool_solves,heuristic_hard_pool_time,heuristic_hard_pool_feasible_solves,heuristic_soft_pool_solves,heuristic_soft_pool_time,heuristic_soft_pool_feasible_solves,heuristic_repair_customers,heuristic_repair_columns_generated,heuristic_max_node_pool_routes,heuristic_max_support_routes,selected_trucks,drone_sorties,service_feasible,mean_delay,max_delay,delay_square_sum,truck_served_customers,drone_served_customers,max_payload,waiting_blocks,total_wait_time,mean_wait_time,max_wait_time,last_progress_event,last_progress_node,last_progress_columns,last_progress_active_sr,error
small_full_PS_seed_1,small,full,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.1859442958583672,0.05105000973148316,0.1859442958583672,0.05105000973148316,0.0,0.0,0.0,6038.883339254419,90.124788689334,20.0,0.026420015368423547,0.13494001194704577,0.0,0.01056800614736942,0.04048200358411373,0.0,21.952924013137817,21.922415018081665,0.030508995056152344,0.026509761810302734,21.92341375350952,0.003000497817993164,0.0069997310638427734,1.255904197692871,8.27320384979248,1,5,,,0,0,0,0,5,0,0,47,0,0,0,0,7047,243,1,102,22,22,0,3148,597,20.561721563339233,9.163066625595093,681,6366,1149392,1210,27572,47,0.06404280662536621,2.05421781539917,2.5196990966796875,1562,2,53,53,53,0,0,0,0,0,0,0,0,1.1053929328918457,0.7783317565917969,0.32406067848205566,0.001001596450805664,0.78133225440979,0.026195526123046875,0.0,0.0,20.640244007110596,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,True,23.919258531479166,65.88437105085663,6038.883339254419,5,0,27.97,0,0,0.0,0.0,,,,,
medium_full_PS_seed_1,medium,full,PS,1,15,5,2,4,20,time_limit,time_limit,0.07094221745463801,0.0,-0.0842303947820819,0.1551726122367199,0.07094221745463801,2.1873098671597155,2.1873098671597155,1.0,27615.765251760677,300.0860189716452,60.0,0.006813538311233767,0.0940560071004816,0.13333333333333333,0.002725415324493507,0.02821680213014448,0.04,60.977843284606934,60.923330545425415,0.054512739181518555,0.04151320457458496,60.92832899093628,0.007001161575317383,0.014007329940795898,1.1458425521850586,18.783479690551758,1,18,,,0,0,0,0,18,0,0,275,0,0,0,0,4532,462,5,0,0,0,0,4805,294,15.0739586353302,2.0002450942993164,2188,2344,15814,58,8191,275,0.22329378128051758,0.4609262943267822,2.621959924697876,554,2,293,293,290,0,0,0,0,0,0,0,0,11.753949880599976,6.693831205368042,5.049123048782349,0.003996133804321289,6.704826831817627,0.2326502799987793,0.0,0.0,15.585537195205688,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,3,0,True,30.379740377240918,109.86642637002808,27615.765251760673,15,0,46.56,0,0,0.0,0.0,,,,,
large_full_PS_seed_1,large,full,PS,1,25,8,2,4,32,time_limited_external,time_limited_external,,,,,,,,,,,,,,,,,,70.08139705657959,,,,,,,,,,1,17.0,0.0,7,112,64,7,0,0,0,0,0,0,0,0,841,7,0,0,0,0,0,144,105,4.514626741409302,1.1041202545166016,327,514,494,0,491,112,0.037474632263183594,0.08897209167480469,0.14749598503112793,52,2,137,137,25,0,0,0,0,0,0,0,0,26.014093160629272,20.784055709838867,5.216038227081299,0.0,20.798054933547974,0.007001399993896484,0.0870058536529541,4.514626741409302,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,phase_i_seed_columns_added,1,137,0,worker exceeded parent timeout of 70.0 seconds including 10.0 seconds of logging grace
