case_id,scale,variant,distribution,seed,customers,trucks,hubs,drones_per_truck,total_drones,status,solver_status,objective_full,gap,runtime_seconds,nodes_processed,rmp_solves,phase_i_solves,phase_i_columns_added,phase_i_uncovered_customers,standard_pricing_calls,farkas_pricing_calls,columns_added_standard,columns_added_farkas,sr_cuts_added,pricing_labels_generated,pricing_labels_dominated,pricing_labels_pruned,pricing_complete_routes_generated,pricing_max_queue_size,total_routes,rmp_time,phase_i_time,standard_pricing_time,farkas_pricing_time,heuristic_time,selected_trucks,drone_sorties,service_feasible,mean_delay,max_delay,mean_wait_time,max_wait_time,last_progress_event,last_progress_node,last_progress_columns,last_progress_active_sr,error
small_full_PS_seed_1,small,full,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.0,2.413609743118286,1,10,0,0,0,10,0,35,0,0,2861,608,0,939,71,41,0.040010690689086914,0.0,0.7689065933227539,0.0,0.0,1,0,True,23.919258531479166,65.88437105085663,0.0,0.0,,,,,
medium_full_PS_seed_1,medium,full,PS,1,15,5,2,4,20,time_limited_external,time_limited_external,,,900.0291216373444,,123,0,0,0,122,0,488,0,0,773994,102805,0,157731,11918,0,2.3877041339874268,0.0,755.3087630271912,0.0,0.0,,,,,,,,rmp_solved,1,506,0,worker exceeded external timeout of 900.0 seconds
large_full_PS_seed_1,large,full,PS,1,25,8,2,4,32,time_limited_external,time_limited_external,,,900.0199208259583,,128,10,36,59,126,0,504,0,0,424663,66038,0,55151,10406,0,2.9930202960968018,0.10365939140319824,299.7821686267853,0.0,0.0,,,,,,,,rmp_solved,1,565,0,worker exceeded external timeout of 900.0 seconds
