case_id,distribution,seed,realized_seed,warm_start_filtered,warm_start_screen_attempt,warm_start_screen_objective,warm_start_screen_first_incumbent,performance_filtered,performance_selection_attempt,performance_trial_bpc_gap,performance_trial_compact_status_code,transformed_nodes,transformed_arcs,snapshot_sha256,bpc_status,bpc_objective,bpc_bound,bpc_gap,bpc_runtime,bpc_nodes,bpc_first_incumbent,bpc_branches,bpc_sr_cuts,bpc_routes,bpc_labels,compact_status,compact_objective,compact_bound,compact_gap,compact_runtime,compact_nodes,compact_first_incumbent,bpc_incumbent_valid,compact_incumbent_valid,bpc_gurobi_version,compact_gurobi_version,detail_report_json,detail_report_markdown
large_PS_seed2,PS,2,2,False,,,,False,,,,50,404,a9d7720f4fd4173ac5d0c3c8b25a743916b2685646bdda71194e46b1861ba6a9,time_limit,0.11114377959701133,0.10913757591533318,0.018050525984920615,1800.47678565979,7,469.3109209537506,5,117,1639,1987127,time_limit_with_incumbent,0.11114377959701441,-0.09470982422080572,1.8521378754996907,1800.3193762302399,25650.0,91.8309998512268,True,True,12.0.1,12.0.1,D:\GitHub\Equitable-Truck-Drone-Routing\numerical_experiments\large_dense400_indices2_8_bpc_compact_1800s_campaign\large_PS_seed2_solution_process_report.json,D:\GitHub\Equitable-Truck-Drone-Routing\numerical_experiments\large_dense400_indices2_8_bpc_compact_1800s_campaign\large_PS_seed2_solution_process_report.md
large_PS_seed3,PS,3,3,False,,,,False,,,,50,360,00baf6b5728220336f959d34439b30f135500ec874f82add80996191dfbaade9,optimal,0.12710178389894503,0.12710178389894503,0.0,254.87317895889282,1,60.25084114074707,0,25,864,138730,time_limit_with_incumbent,0.13362235679159676,-0.06898869143845564,1.5162960233223053,1800.325535774231,52155.0,25.450000047683716,True,True,12.0.1,12.0.1,D:\GitHub\Equitable-Truck-Drone-Routing\numerical_experiments\large_dense400_indices2_8_bpc_compact_1800s_campaign\large_PS_seed3_solution_process_report.json,D:\GitHub\Equitable-Truck-Drone-Routing\numerical_experiments\large_dense400_indices2_8_bpc_compact_1800s_campaign\large_PS_seed3_solution_process_report.md
large_PS_seed4,PS,4,4,False,,,,False,,,,49,346,09d7ed21ca986b2718a8c1f7c87753c3e71bf437581d531c91b389a1d2129c04,optimal,0.1403486137898247,0.1403486137898247,0.0,114.08121418952942,1,60.25961661338806,0,0,842,99462,time_limit_with_incumbent,0.1420731662624602,-0.05481094661820141,1.3857937994916358,1800.3158695697784,36401.0,26.84999990463257,True,True,12.0.1,12.0.1,D:\GitHub\Equitable-Truck-Drone-Routing\numerical_experiments\large_dense400_indices2_8_bpc_compact_1800s_campaign\large_PS_seed4_solution_process_report.json,D:\GitHub\Equitable-Truck-Drone-Routing\numerical_experiments\large_dense400_indices2_8_bpc_compact_1800s_campaign\large_PS_seed4_solution_process_report.md
large_PC_seed5,PC,5,5,False,,,,False,,,,49,545,fa61e4218317d43b6554f8e04dfa4f247eb4345e4dc2b6510193627ce56d05b3,optimal,0.06228878798169343,0.06228878798169343,0.0,1086.7914590835571,1,60.309582233428955,0,8,1509,969730,time_limit_with_incumbent,0.062288787981695695,-0.09995049162767818,2.604630542129826,1800.397703409195,54534.0,17.94599986076355,True,True,12.0.1,12.0.1,D:\GitHub\Equitable-Truck-Drone-Routing\numerical_experiments\large_dense400_indices2_8_bpc_compact_1800s_campaign\large_PC_seed5_solution_process_report.json,D:\GitHub\Equitable-Truck-Drone-Routing\numerical_experiments\large_dense400_indices2_8_bpc_compact_1800s_campaign\large_PC_seed5_solution_process_report.md
large_PC_seed6,PC,6,12000042,True,12,0.19043795183290585,28.515000104904175,False,,,,50,317,e2a1da8bdbd667b02a19098ba3bc8e83efdafec7ef8f184ffb38b64bf3b06b2e,optimal,0.12156239554140308,0.12156239554140308,0.0,150.24021673202515,1,60.22857737541199,0,0,1301,181242,time_limit_with_incumbent,0.12665643063601523,-0.05368124808308637,1.423833577288747,1800.371325969696,23290.0,172.38299989700317,True,True,12.0.1,12.0.1,D:\GitHub\Equitable-Truck-Drone-Routing\numerical_experiments\large_dense400_indices2_8_bpc_compact_1800s_campaign\large_PC_seed6_solution_process_report.json,D:\GitHub\Equitable-Truck-Drone-Routing\numerical_experiments\large_dense400_indices2_8_bpc_compact_1800s_campaign\large_PC_seed6_solution_process_report.md
large_PC_seed7,PC,7,7,False,,,,False,,,,49,317,b659137b599d137b8fa1ba433614b55353acdd5da4d47449a2b562c8a0f3fb2d,optimal,0.15750243863113086,0.15750243863113086,0.0,128.72548174858093,1,128.5092806816101,0,0,715,92971,time_limit_with_incumbent,0.16734472603608233,0.02642547730348802,0.8420895720502705,1800.3579981327057,46923.0,80.85199999809265,True,True,12.0.1,12.0.1,D:\GitHub\Equitable-Truck-Drone-Routing\numerical_experiments\large_dense400_indices2_8_bpc_compact_1800s_campaign\large_PC_seed7_solution_process_report.json,D:\GitHub\Equitable-Truck-Drone-Routing\numerical_experiments\large_dense400_indices2_8_bpc_compact_1800s_campaign\large_PC_seed7_solution_process_report.md
large_PC_seed8,PC,8,24000080,True,24,0.17762609578711777,35.51300001144409,True,24,0.0363101676991207,9,50,438,3b956fae3aedf69d05b536111b80b7ac4c3995a6578c6e5c3082251bb0aaa27a,time_limit,0.08838164300260085,0.0852138484506155,0.03584222293640918,1802.1561069488525,3,60.25328850746155,2,107,1276,1980016,time_limit_with_incumbent,0.09982045896943964,-0.09627316580686447,1.9644632653546383,1800.2984471321106,27763.0,35.85899996757507,True,True,12.0.1,12.0.1,D:\GitHub\Equitable-Truck-Drone-Routing\numerical_experiments\large_dense400_indices2_8_bpc_compact_1800s_campaign\large_PC_seed8_solution_process_report.json,D:\GitHub\Equitable-Truck-Drone-Routing\numerical_experiments\large_dense400_indices2_8_bpc_compact_1800s_campaign\large_PC_seed8_solution_process_report.md
