case_id,scale,variant,distribution,seed,customers,trucks,hubs,drones_per_truck,total_drones,status,solver_status,objective_full,gap,raw_delay_square_sum,raw_return_time_sum,raw_operating_cost,normalized_delay,normalized_return_time,normalized_cost,weighted_delay,weighted_return_time,weighted_cost,runtime_seconds,bpc_runtime_seconds,worker_overhead_seconds,python_current_allocated_mb,python_peak_allocated_mb,nodes_processed,rmp_solves,phase_i_solves,phase_i_columns_added,phase_i_uncovered_customers,seed_pricing_calls,standard_pricing_calls,farkas_pricing_calls,repair_pricing_calls,columns_added_standard,columns_added_farkas,sr_cuts_added,pricing_labels_generated,pricing_labels_dominated,pricing_labels_pruned,pricing_complete_routes_generated,pricing_max_queue_size,pricing_diagnostics_elapsed_seconds,pricing_max_call_elapsed_seconds,total_routes,global_pool_routes,max_node_columns,max_active_sr,root_extraction_time,root_model_build_time,root_model_solve_time,root_route_decode_time,root_compact_non_solver_time,rmp_time,phase_i_time,seed_pricing_time,standard_pricing_time,farkas_pricing_time,repair_pricing_time,heuristic_time,selected_trucks,drone_sorties,service_feasible,mean_delay,max_delay,delay_square_sum,truck_served_customers,drone_served_customers,max_payload,waiting_blocks,total_wait_time,mean_wait_time,max_wait_time,last_progress_event,last_progress_node,last_progress_columns,last_progress_active_sr,error
small_full_PS_seed_1,small,full,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.0,6038.88333925442,90.124788689334,20.0,0.026420015368423554,0.13494001194704577,0.0,0.010568006147369422,0.04048200358411373,0.0,1.810065507888794,1.7818830013275146,0.028182506561279297,0.8209047317504883,1.0548467636108398,1,5,0,0,0,0,5,0,0,51,0,0,1129,316,42,338,53,0.1960310935974121,0.04900026321411133,57,57,57,0,1.4413375854492188,0.8682277202606201,0.5701110363006592,0.0010001659393310547,0.8712265491485596,0.02150702476501465,0.0,0.0,0.19703030586242676,0.0,0.0,0.0,1,0,True,23.919258531479166,65.88437105085663,6038.883339254419,5,0,27.970000000000002,0,0,0.0,0.0,,,,,
small_no_pricing_pruning_PS_seed_1,small,no_pricing_pruning,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.0,6038.88333925442,90.124788689334,20.0,0.026420015368423554,0.13494001194704577,0.0,0.010568006147369422,0.04048200358411373,0.0,1.5624725818634033,1.5364727973937988,0.025999784469604492,0.8549795150756836,1.121333122253418,1,7,0,0,0,0,7,0,0,69,0,0,1869,528,0,642,18,0.3032975196838379,0.056517839431762695,75,75,75,0,1.0016584396362305,0.7176249027252197,0.28102779388427734,0.0010018348693847656,0.7206306457519531,0.03400301933288574,0.0,0.0,0.30629682540893555,0.0,0.0,0.0,1,0,True,23.919258531479166,65.88437105085663,6038.883339254419,5,0,27.970000000000002,0,0,0.0,0.0,,,,,
small_no_root_extraction_PS_seed_1,small,no_root_extraction,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.0,6038.88333925442,90.124788689334,20.0,0.026420015368423554,0.13494001194704577,0.0,0.010568006147369422,0.04048200358411373,0.0,0.5508806705474854,0.5273697376251221,0.02351093292236328,0.8569393157958984,1.220977783203125,1,6,2,16,3,1,5,0,0,54,0,0,1501,342,39,482,64,0.29402971267700195,0.09451174736022949,75,75,75,0,0.0,0.0,0.0,0.0,0.0,0.03700375556945801,0.006999969482421875,0.014999866485595703,0.28102993965148926,0.0,0.0,0.004002809524536133,1,0,True,23.919258531479166,65.88437105085663,6038.883339254419,5,0,27.97,0,0,0.0,0.0,,,,,
