case_id,scale,variant,distribution,seed,customers,trucks,hubs,drones_per_truck,total_drones,status,solver_status,objective_full,lower_bound_shifted,lower_bound_full,upper_bound_shifted,upper_bound_full,gap,gap_full,gap_shifted,raw_delay_square_sum,raw_return_time_sum,raw_operating_cost,normalized_delay,normalized_return_time,normalized_cost,weighted_delay,weighted_return_time,weighted_cost,runtime_seconds,bpc_runtime_seconds,worker_overhead_seconds,instance_generation_time_seconds,bpc_wall_time_seconds,service_metrics_time_seconds,output_write_time_seconds,python_current_allocated_mb,python_peak_allocated_mb,nodes_processed,rmp_solves,farkas_certificate_rhs,farkas_certificate_max_column_activity,phase_i_solves,phase_i_columns_added,phase_i_uncovered_customers,seed_pricing_calls,standard_pricing_calls,farkas_pricing_calls,repair_pricing_calls,columns_added_standard,columns_added_farkas,duplicate_columns_rejected,duplicate_merge_events,sr_cuts_added,pricing_labels_generated,pricing_labels_dominated,pricing_labels_purged,pricing_stale_labels_skipped,pricing_labels_pruned,pricing_standard_bound_pruned,pricing_farkas_bound_pruned,pricing_complete_routes_generated,pricing_max_queue_size,pricing_diagnostics_elapsed_seconds,pricing_max_call_elapsed_seconds,pricing_forward_labels_generated,pricing_backward_labels_generated,pricing_join_pairs_tested,pricing_joined_routes_accepted,pricing_forward_labeling_time,pricing_backward_labeling_time,pricing_join_time,pricing_parallel_calls,pricing_parallel_workers_max,total_routes,global_pool_routes,max_node_columns,max_active_sr,branching_nodes,child_nodes_created,customer_pair_branches,service_mode_branches,launch_pad_branches,transformed_arc_branches,route_variable_branches,root_extraction_time,root_model_build_time,root_model_solve_time,root_route_decode_time,root_compact_non_solver_time,rmp_time,phase_i_time,seed_pricing_time,standard_pricing_time,farkas_pricing_time,repair_pricing_time,heuristic_time,heuristic_calls,heuristic_columns_generated,heuristic_incumbent_updates,heuristic_hard_pool_solves,heuristic_hard_pool_time,heuristic_hard_pool_feasible_solves,heuristic_soft_pool_solves,heuristic_soft_pool_time,heuristic_soft_pool_feasible_solves,heuristic_repair_customers,heuristic_repair_columns_generated,heuristic_max_node_pool_routes,heuristic_max_support_routes,selected_trucks,drone_sorties,service_feasible,mean_delay,max_delay,delay_square_sum,truck_served_customers,drone_served_customers,max_payload,waiting_blocks,total_wait_time,mean_wait_time,max_wait_time,last_progress_event,last_progress_node,last_progress_columns,last_progress_active_sr,error
small_full_PS_seed_1,small,full,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.1859442958583672,0.05105000973148316,0.1859442958583672,0.05105000973148316,0.0,0.0,0.0,6038.883339254419,90.124788689334,20.0,0.026420015368423547,0.13494001194704577,0.0,0.01056800614736942,0.04048200358411373,0.0,1.9601283073425293,1.9328668117523193,0.02726149559020996,0.026256084442138672,1.9338722229003906,0.0,0.0011739730834960938,0.8261251449584961,0.9965038299560547,1,5,,,0,0,0,0,5,0,0,49,0,0,0,0,786,274,1,0,28,28,0,212,37,0.19346284866333008,0.0469667911529541,786,0,0,0,0.19346284866333008,0.0,0.0,0,1,55,55,55,0,0,0,0,0,0,0,0,1.5638294219970703,0.9456634521484375,0.6151666641235352,0.0009996891021728516,0.9486627578735352,0.027615785598754883,0.0,0.0,0.19647812843322754,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,True,23.919258531479166,65.88437105085663,6038.883339254419,5,0,27.970000000000002,0,0,0.0,0.0,,,,,
medium_full_PS_seed_1,medium,full,PS,1,15,5,2,4,20,time_limited_external,time_limited_external,,,,,,,,,,,,,,,,,,900.0327179431915,,,,,,,,,,44,,,0,0,0,0,43,0,0,688,0,0,0,0,374606,99943,5904,1755,12,12,0,77844,9234,601.2500402927399,68.69309830665588,374606,0,0,0,601.2500402927399,0.0,0.0,0,1,706,706,706,0,0,0,0,0,0,0,0,11.826925039291382,6.759607791900635,5.051390647888184,0.0051746368408203125,6.775534391403198,1.4314019680023193,0.0,0.0,603.1581175327301,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,rmp_solved,1,706,0,worker exceeded parent timeout of 900.0 seconds including 0.0 seconds of logging grace
large_full_PS_seed_1,large,full,PS,1,25,8,2,4,32,time_limited_external,time_limited_external,,,,,,,,,,,,,,,,,,900.0362854003906,,,,,,,,,,37,17.0,0.0,4,48,27,3,36,0,0,560,0,0,0,0,207590,55865,2353,195,0,0,0,26708,17010,199.9941644668579,72.00793838500977,207590,0,0,0,199.9941644668579,0.0,0.0,0,1,633,633,633,0,0,0,0,0,0,0,0,24.47416639328003,19.299021005630493,5.1584765911102295,0.0,19.3156898021698,1.2875189781188965,0.04610490798950195,0.12958860397338867,199.86457586288452,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,rmp_solved,1,633,0,worker exceeded parent timeout of 900.0 seconds including 0.0 seconds of logging grace
