case_id,scale,variant,distribution,seed,customers,trucks,hubs,drones_per_truck,total_drones,status,solver_status,objective_full,gap,runtime_seconds,nodes_processed,rmp_solves,phase_i_solves,phase_i_columns_added,phase_i_uncovered_customers,standard_pricing_calls,farkas_pricing_calls,columns_added_standard,columns_added_farkas,sr_cuts_added,total_routes,rmp_time,phase_i_time,standard_pricing_time,farkas_pricing_time,heuristic_time,selected_trucks,drone_sorties,service_feasible,mean_delay,max_delay,mean_wait_time,max_wait_time,last_progress_event,last_progress_node,last_progress_columns,last_progress_active_sr,error
small_full_PS_seed_1,small,full,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.0,3.983062505722046,1,22,0,0,0,22,0,21,0,0,27,0.1387922763824463,0.0,1.6854243278503418,0.0,0.0,1,0,True,23.919258531479166,65.88437105085663,0.0,0.0,,,,,
small_no_pricing_pruning_PS_seed_1,small,no_pricing_pruning,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.0,3.319671154022217,1,24,0,0,0,24,0,23,0,0,29,0.13969731330871582,0.0,0.9114985466003418,0.0,0.0,1,0,True,23.919258531479166,65.88437105085663,0.0,0.0,,,,,
small_no_root_extraction_PS_seed_1,small,no_root_extraction,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.0,2.6112914085388184,1,21,11,10,15,20,0,19,0,0,34,0.1280515193939209,0.05720090866088867,2.1574158668518066,0.0,0.006523847579956055,1,0,True,23.919258531479166,65.88437105085663,0.0,0.0,,,,,
small_full_PS_seed_2,small,full,PS,2,5,2,2,4,8,optimal,optimal,0.10150887105676384,0.0,1.2295336723327637,1,7,0,0,0,7,0,6,0,0,12,0.0353848934173584,0.0,0.16376590728759766,0.0,0.0,1,0,True,39.86503136528419,62.74113931055723,0.0,0.0,,,,,
small_no_pricing_pruning_PS_seed_2,small,no_pricing_pruning,PS,2,5,2,2,4,8,optimal,optimal,0.10150887105676384,0.0,1.2077796459197998,1,9,0,0,0,9,0,8,0,0,14,0.040250301361083984,0.0,0.08077573776245117,0.0,0.0,1,0,True,39.86503136528419,62.74113931055723,0.0,0.0,,,,,
small_no_root_extraction_PS_seed_2,small,no_root_extraction,PS,2,5,2,2,4,8,optimal,optimal,0.10150887105676384,0.0,0.616840124130249,1,7,15,14,23,6,0,5,0,0,24,0.045656681060791016,0.07901287078857422,0.24663710594177246,0.0,0.006856203079223633,1,0,True,39.86503136528419,62.74113931055723,0.0,0.0,,,,,
small_full_PS_seed_3,small,full,PS,3,5,2,2,4,8,optimal,optimal,0.07198407450092503,0.0,1.6332218647003174,1,10,0,0,0,10,0,9,0,0,15,0.04926347732543945,0.0,0.3117070198059082,0.0,0.0,1,0,True,24.24072844263593,70.83818672270088,0.0,0.0,,,,,
small_no_pricing_pruning_PS_seed_3,small,no_pricing_pruning,PS,3,5,2,2,4,8,optimal,optimal,0.07198407450092503,0.0,1.538032054901123,1,8,0,0,0,8,0,7,0,0,13,0.033476829528808594,0.0,0.14540910720825195,0.0,0.0,1,0,True,24.24072844263593,70.83818672270088,0.0,0.0,,,,,
small_no_root_extraction_PS_seed_3,small,no_root_extraction,PS,3,5,2,2,4,8,optimal,optimal,0.07198407450092503,0.0,0.5506927967071533,1,8,10,9,12,7,0,6,0,0,20,0.04313087463378906,0.04108095169067383,0.3122894763946533,0.0,0.00600743293762207,1,0,True,24.24072844263593,70.83818672270088,0.0,0.0,,,,,
