case_id,scale,variant,distribution,seed,customers,trucks,hubs,drones_per_truck,total_drones,status,solver_status,objective_full,lower_bound_shifted,lower_bound_full,upper_bound_shifted,upper_bound_full,gap,gap_full,gap_shifted,raw_delay_square_sum,raw_return_time_sum,raw_operating_cost,normalized_delay,normalized_return_time,normalized_cost,weighted_delay,weighted_return_time,weighted_cost,runtime_seconds,bpc_runtime_seconds,worker_overhead_seconds,instance_generation_time_seconds,bpc_wall_time_seconds,service_metrics_time_seconds,output_write_time_seconds,python_current_allocated_mb,python_peak_allocated_mb,nodes_processed,rmp_solves,farkas_certificate_rhs,farkas_certificate_max_column_activity,phase_i_solves,phase_i_columns_added,phase_i_uncovered_customers,seed_pricing_calls,standard_pricing_calls,farkas_pricing_calls,repair_pricing_calls,columns_added_standard,columns_added_farkas,duplicate_columns_rejected,duplicate_merge_events,sr_cuts_added,pricing_labels_generated,pricing_labels_dominated,pricing_labels_purged,pricing_stale_labels_skipped,pricing_labels_pruned,pricing_standard_bound_pruned,pricing_farkas_bound_pruned,pricing_complete_routes_generated,pricing_max_queue_size,pricing_diagnostics_elapsed_seconds,pricing_max_call_elapsed_seconds,pricing_forward_labels_generated,pricing_backward_labels_generated,pricing_backward_dominance_tests,pricing_backward_labels_dominated,pricing_join_pairs_tested,pricing_joined_routes_accepted,pricing_forward_labeling_time,pricing_backward_labeling_time,pricing_join_time,pricing_parallel_calls,pricing_parallel_workers_max,pricing_signature_cache_hits,pricing_signature_cache_misses,pricing_core_signature_cache_hits,pricing_core_signature_cache_misses,pricing_active_signature_cache_hits,pricing_active_signature_cache_misses,pricing_sr_coeff_cache_hits,pricing_sr_coeff_cache_misses,pricing_active_sr_key_cache_hits,pricing_active_sr_key_cache_misses,pricing_active_sr_coeffs_computed,pricing_triplet_masks_built,pricing_dominance_prefilter_pairs,pricing_dominance_prefilter_rejected,pricing_dominance_bucket_pairs_considered,pricing_dominance_bucket_pairs_rejected,pricing_dominance_bucket_candidate_pairs,pricing_dominance_compatible_keys_generated,pricing_dominance_compatible_key_lookups,pricing_dominance_bucket_scans_avoided,pricing_dominance_key_generation_time,pricing_backward_full_dominance_tests,pricing_join_prefilter_pairs,pricing_join_prefilter_rejected,pricing_join_bucket_pairs_considered,pricing_join_bucket_pairs_rejected,pricing_join_bucket_candidate_pairs,pricing_join_compatible_keys_generated,pricing_join_compatible_key_lookups,pricing_join_bucket_scans_avoided,pricing_join_key_generation_time,pricing_join_label_pairs_materialized,pricing_join_full_decodes,pricing_lazy_rejected_before_decode,pricing_fully_decoded_routes,pricing_duplicate_equivalent_rejected,pricing_cost_dominated_rejected,pricing_signature_build_time,pricing_sr_coeff_build_time,pricing_duplicate_lookup_time,pricing_route_decode_time,pricing_reduced_cost_verification_time,route_pool_hydration_time,route_signature_build_time,sr_coeff_build_time,duplicate_lookup_time,rmp_column_insertion_time,progress_serialization_time,signature_cache_hits,signature_cache_misses,core_signature_cache_hits,core_signature_cache_misses,active_signature_cache_hits,active_signature_cache_misses,sr_coeff_cache_hits,sr_coeff_cache_misses,active_sr_key_cache_hits,active_sr_key_cache_misses,active_sr_coeffs_computed,triplet_masks_built,column_index_hits,column_index_misses,column_index_replacements,column_index_refreshes,column_index_refresh_time,active_sr_version_refreshes,active_sr_version_refresh_time,duplicate_equivalent_columns_rejected,cost_dominated_columns_rejected,cost_dominated_columns_removed,total_routes,global_pool_routes,max_node_columns,max_active_sr,max_active_sr_version,branching_nodes,child_nodes_created,customer_pair_branches,service_mode_branches,launch_pad_branches,transformed_arc_branches,route_variable_branches,root_closed,best_reduced_cost_at_stop,adaptive_batch_size_min,adaptive_batch_size_max,adaptive_batch_size_last,adaptive_batch_increases,adaptive_batch_decreases,adaptive_batch_window_ratio,adaptive_batch_low_windows,adaptive_batch_high_windows,certification_pricing_passes,certification_pricing_passes_with_columns,root_productive_pricing_calls,root_extraction_time,root_compact_status,root_model_build_time,root_model_solve_time,root_route_decode_time,root_compact_non_solver_time,rmp_time,phase_i_time,seed_pricing_time,standard_pricing_time,farkas_pricing_time,repair_pricing_time,heuristic_time,heuristic_calls,preclosure_heuristic_calls,preclosure_heuristic_columns_generated,preclosure_heuristic_incumbent_updates,time_to_first_incumbent,heuristic_columns_generated,heuristic_incumbent_updates,heuristic_hard_pool_solves,heuristic_hard_pool_time,heuristic_hard_pool_feasible_solves,heuristic_soft_pool_solves,heuristic_soft_pool_time,heuristic_soft_pool_feasible_solves,heuristic_repair_customers,heuristic_repair_columns_generated,heuristic_max_node_pool_routes,heuristic_max_support_routes,selected_trucks,drone_sorties,service_feasible,mean_delay,max_delay,delay_square_sum,truck_served_customers,drone_served_customers,max_payload,waiting_blocks,total_wait_time,mean_wait_time,max_wait_time,last_progress_event,last_progress_node,last_progress_columns,last_progress_active_sr,error
small_full_PS_seed_1,small,full,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.1859442958583672,0.05105000973148316,0.1859442958583672,0.05105000973148316,0.0,0.0,0.0,6038.88333925442,90.124788689334,20.0,0.026420015368423554,0.13494001194704577,0.0,0.010568006147369422,0.04048200358411373,0.0,34.049034118652344,34.02336025238037,0.025673866271972656,0.025673866271972656,34.02336025238037,0.0,0.00500941276550293,1.4169931411743164,8.723136901855469,1,4,,,0,0,0,0,4,0,0,96,0,0,0,0,5955,214,0,90,18,18,0,3245,597,32.50719332695007,16.036192655563354,611,5344,1022594,930,4295,96,0.06111478805541992,1.9523520469665527,0.32939839363098145,860,2,96,748,0,374,96,748,283,91,283,91,0,0,1022594,779917,1049590,0,1049590,54221,54221,72879,1.0050034523010254,242677,4295,1195,22908,19037,4295,162502,162502,0,2.1248490810394287,4295,96,3149,96,0,0,0.016309499740600586,0.0,0.024178504943847656,0.017621517181396484,0.02827596664428711,0.003012418746948242,0.004590749740600586,0.0,0.0,0.07217049598693848,0.05103707313537598,102,204,0,102,102,204,77,25,77,25,0,0,0,96,0,1,0.002004384994506836,0,0.0,0,0,0,102,102,102,0,0,0,0,0,0,0,0,0,True,-2.0816681711721685e-17,64,64,64,0,0,0.0,0,0,0,0,3,1.286116361618042,success,0.7399604320526123,0.5446529388427734,0.0,0.7414634227752686,0.026620864868164062,0.0,0.0,32.563045024871826,0.0,0.0,0.0,0,0,0,0,1.2900595664978027,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,True,23.919258531479166,65.88437105085663,6038.883339254419,5,0,27.97,0,0,0.0,0.0,,,,,
medium_full_PS_seed_1,medium,full,PS,1,15,5,2,4,20,time_limit,time_limit,0.023495487364148873,0.0,-0.0842303947820819,0.10772588214623077,0.023495487364148873,4.584960527807854,4.584960527807854,1.0,23397.72236146562,235.06531838642547,40.0,0.005772835778841686,0.07062117684204067,0.0,0.0023091343115366745,0.0211863530526122,0.0,901.1736211776733,901.106392621994,0.06722855567932129,0.025190114974975586,901.1303720474243,0.01805901527404785,0.02538013458251953,4.075624465942383,112.22971534729004,1,25,10.0,0.0,7,96,24,6,24,0,3,1215,0,0,0,0,103016,13585,701,196,16,16,0,1304054,22440,875.5590476989746,612.0397188663483,52279,50737,25076325,3932,5918416,1329,6.833024501800537,12.482873678207397,146.24393701553345,59866,2,1425,36768,0,18366,1425,36768,3351,15015,3351,15015,0,0,25076325,24831034,25637039,0,25637039,544082,544082,2764040,9.640367269515991,245291,5918416,4621175,1657866,3238373,5997766,7705159,7705159,0,87.69382667541504,5918416,1329,1302725,1329,60,0,1.3118829727172852,0.08197474479675293,0.24640917778015137,0.5155441761016846,0.15457463264465332,0.19393348693847656,0.12653779983520508,0.007260322570800781,0.0,10.265370845794678,1.1568043231964111,111,2688,0,1344,111,2688,293,1051,293,1051,0,0,0,1311,0,2,0.008217096328735352,0,0.0,0,0,0,1344,1344,1313,0,0,0,0,0,0,0,0,0,False,-0.0012438884782098904,32,256,256,3,1,0.006197762032033303,1,0,4,4,24,11.345836877822876,timeout,6.277876377105713,5.054448127746582,0.005015373229980469,6.291388750076294,1.0864968299865723,0.0544888973236084,0.4988267421722412,875.3467421531677,0.0,0.7772002220153809,1.0446717739105225,12,12,18,7,13.982494115829468,18,7,13,0.08615803718566895,11,5,0.031531572341918945,5,4,18,1313,53,2,0,True,28.633251095428612,86.83510844862859,23397.722361465618,15,0,48.38,0,0,0.0,0.0,,,,,
large_full_PS_seed_1,large,full,PS,1,25,8,2,4,32,time_limit,time_limit,0.041295396102913745,0.0,-0.10787624230817369,0.14917163841108744,0.041295396102913745,3.6123067578606443,3.6123067578606443,1.0,37946.66182124817,394.392466064322,100.0,0.0023821907602935536,0.04751854425685733,0.08695652173913043,0.0009528763041174214,0.014255563277057199,0.02608695652173913,900.6705622673035,900.5645468235016,0.10601544380187988,0.025323152542114258,900.6148624420166,0.030376672744750977,0.04111766815185547,2.927480697631836,60.47011184692383,1,50,17.0,0.0,11,160,73,10,49,0,4,2602,0,0,0,0,193997,22632,444,29,0,0,0,2666831,11750,822.1768436431885,128.9885745048523,95514,98483,10522657,4327,4043059,2806,12.586917400360107,21.572924613952637,286.9772684574127,107305,2,2997,131058,0,65501,2997,131058,6500,59001,6500,59001,0,0,10522657,10349878,10726756,0,10726756,1028947,1028947,9929066,17.642832279205322,172779,4043059,1375753,1719397,582506,4050012,7253443,7253443,5903,80.67639493942261,4043059,2806,2664025,2806,135,0,4.903440237045288,0.38099169731140137,0.5262219905853271,0.8004398345947266,0.32807064056396484,0.7089810371398926,0.2770042419433594,0.008084535598754883,0.0,41.942397594451904,3.3117995262145996,185,5662,0,2831,185,5662,225,2606,225,2606,0,0,0,2762,0,2,0.015053749084472656,0,0.0,0,0,0,2831,2831,2821,0,0,0,0,0,0,0,0,0,False,-0.0008839406760005816,32,256,256,3,1,0.032108822473190655,2,0,9,9,49,24.824517488479614,timeout,19.602551221847534,5.206125259399414,0.0,19.6183922290802,3.808774709701538,0.13717150688171387,1.0360629558563232,821.2870860099792,0.0,1.973860263824463,3.2356457710266113,25,25,44,6,29.989298820495605,44,6,26,0.356766939163208,24,19,0.3303029537200928,19,4,44,2821,88,5,0,True,26.057952049942397,96.54173723232535,37946.661821248184,25,0,49.85999999999999,0,0,0.0,0.0,,,,,
