case_id,scale,variant,distribution,seed,customers,trucks,hubs,drones_per_truck,total_drones,status,solver_status,objective_full,gap,runtime_seconds,nodes_processed,rmp_solves,phase_i_solves,phase_i_columns_added,phase_i_uncovered_customers,standard_pricing_calls,farkas_pricing_calls,columns_added_standard,columns_added_farkas,sr_cuts_added,total_routes,rmp_time,phase_i_time,standard_pricing_time,farkas_pricing_time,heuristic_time,selected_trucks,drone_sorties,service_feasible,mean_delay,max_delay,mean_wait_time,max_wait_time,error
small_full_PS_seed_3,small,full,PS,3,5,2,2,4,8,optimal,optimal,0.07198407450092503,0.0,1.5417392253875732,1,10,0,0,0,10,0,9,0,0,15,0.0558321475982666,0.0,0.2568795680999756,0.0,0.0,1,0,True,24.24072844263593,70.83818672270088,0.0,0.0,
medium_full_PS_seed_3,medium,full,PS,3,15,5,2,4,20,time_limited_external,time_limited_external,,,900.0225467681885,,,,,,,,,,,,,,,,,,,,,,,,worker exceeded external timeout of 900.0 seconds
large_full_PS_seed_3,large,full,PS,3,25,8,2,4,32,time_limited_external,time_limited_external,,,900.0189871788025,,,,,,,,,,,,,,,,,,,,,,,,worker exceeded external timeout of 900.0 seconds
