case_id,scale,variant,distribution,seed,customers,trucks,hubs,drones_per_truck,total_drones,status,solver_status,objective_full,lower_bound_shifted,lower_bound_full,upper_bound_shifted,upper_bound_full,gap,gap_full,gap_shifted,raw_delay_square_sum,raw_return_time_sum,raw_operating_cost,normalized_delay,normalized_return_time,normalized_cost,weighted_delay,weighted_return_time,weighted_cost,runtime_seconds,bpc_runtime_seconds,worker_overhead_seconds,instance_generation_time_seconds,bpc_wall_time_seconds,service_metrics_time_seconds,output_write_time_seconds,python_current_allocated_mb,python_peak_allocated_mb,nodes_processed,rmp_solves,farkas_certificate_rhs,farkas_certificate_max_column_activity,phase_i_solves,phase_i_columns_added,phase_i_uncovered_customers,seed_pricing_calls,standard_pricing_calls,farkas_pricing_calls,repair_pricing_calls,columns_added_standard,columns_added_farkas,duplicate_columns_rejected,duplicate_merge_events,sr_cuts_added,pricing_labels_generated,pricing_labels_dominated,pricing_labels_purged,pricing_stale_labels_skipped,pricing_labels_pruned,pricing_standard_bound_pruned,pricing_farkas_bound_pruned,pricing_complete_routes_generated,pricing_max_queue_size,pricing_diagnostics_elapsed_seconds,pricing_max_call_elapsed_seconds,pricing_forward_labels_generated,pricing_backward_labels_generated,pricing_join_pairs_tested,pricing_joined_routes_accepted,pricing_forward_labeling_time,pricing_backward_labeling_time,pricing_join_time,pricing_parallel_calls,pricing_parallel_workers_max,total_routes,global_pool_routes,max_node_columns,max_active_sr,branching_nodes,child_nodes_created,customer_pair_branches,service_mode_branches,launch_pad_branches,transformed_arc_branches,route_variable_branches,root_extraction_time,root_model_build_time,root_model_solve_time,root_route_decode_time,root_compact_non_solver_time,rmp_time,phase_i_time,seed_pricing_time,standard_pricing_time,farkas_pricing_time,repair_pricing_time,heuristic_time,heuristic_calls,heuristic_columns_generated,heuristic_incumbent_updates,heuristic_hard_pool_solves,heuristic_hard_pool_time,heuristic_hard_pool_feasible_solves,heuristic_soft_pool_solves,heuristic_soft_pool_time,heuristic_soft_pool_feasible_solves,heuristic_repair_customers,heuristic_repair_columns_generated,heuristic_max_node_pool_routes,heuristic_max_support_routes,selected_trucks,drone_sorties,service_feasible,mean_delay,max_delay,delay_square_sum,truck_served_customers,drone_served_customers,max_payload,waiting_blocks,total_wait_time,mean_wait_time,max_wait_time,last_progress_event,last_progress_node,last_progress_columns,last_progress_active_sr,error
small_full_PS_seed_1,small,full,PS,1,5,2,2,4,8,error,error,,,,,,,,,,,,,,,,,,0.04688096046447754,,,0.023383140563964844,0.023497819900512695,,0.0010018348693847656,,0.889155387878418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GurobiError(10009, ""User name mismatch (licensed to '77270', current user is 'codexsandboxoffline')"")"
medium_full_PS_seed_1,medium,full,PS,1,15,5,2,4,20,error,error,,,,,,,,,,,,,,,,,,0.06725716590881348,,,0.03298640251159668,0.0342707633972168,,0.0007441043853759766,,0.8880157470703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GurobiError(10009, ""User name mismatch (licensed to '77270', current user is 'codexsandboxoffline')"")"
large_full_PS_seed_1,large,full,PS,1,25,8,2,4,32,error,error,,,,,,,,,,,,,,,,,,0.08114123344421387,,,0.03133988380432129,0.04980134963989258,,0.0,,0.9242258071899414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GurobiError(10009, ""User name mismatch (licensed to '77270', current user is 'codexsandboxoffline')"")"
