case_id,scale,variant,distribution,seed,customers,trucks,hubs,drones_per_truck,total_drones,status,solver_status,objective_full,lower_bound_shifted,lower_bound_full,upper_bound_shifted,upper_bound_full,gap,gap_full,gap_shifted,raw_delay_square_sum,raw_return_time_sum,raw_operating_cost,normalized_delay,normalized_return_time,normalized_cost,weighted_delay,weighted_return_time,weighted_cost,runtime_seconds,bpc_runtime_seconds,worker_overhead_seconds,instance_generation_time_seconds,bpc_wall_time_seconds,service_metrics_time_seconds,output_write_time_seconds,python_current_allocated_mb,python_peak_allocated_mb,nodes_processed,rmp_solves,farkas_certificate_rhs,farkas_certificate_max_column_activity,phase_i_solves,phase_i_columns_added,phase_i_uncovered_customers,seed_pricing_calls,standard_pricing_calls,farkas_pricing_calls,repair_pricing_calls,columns_added_standard,columns_added_farkas,duplicate_columns_rejected,duplicate_merge_events,sr_cuts_added,pricing_labels_generated,pricing_labels_dominated,pricing_labels_purged,pricing_stale_labels_skipped,pricing_labels_pruned,pricing_standard_bound_pruned,pricing_farkas_bound_pruned,pricing_complete_routes_generated,pricing_max_queue_size,pricing_diagnostics_elapsed_seconds,pricing_max_call_elapsed_seconds,pricing_forward_labels_generated,pricing_backward_labels_generated,pricing_backward_dominance_tests,pricing_backward_labels_dominated,pricing_join_pairs_tested,pricing_joined_routes_accepted,pricing_forward_labeling_time,pricing_backward_labeling_time,pricing_join_time,pricing_parallel_calls,pricing_parallel_workers_max,pricing_signature_cache_hits,pricing_signature_cache_misses,pricing_core_signature_cache_hits,pricing_core_signature_cache_misses,pricing_active_signature_cache_hits,pricing_active_signature_cache_misses,pricing_sr_coeff_cache_hits,pricing_sr_coeff_cache_misses,pricing_active_sr_key_cache_hits,pricing_active_sr_key_cache_misses,pricing_active_sr_coeffs_computed,pricing_triplet_masks_built,pricing_dominance_prefilter_pairs,pricing_dominance_prefilter_rejected,pricing_dominance_bucket_pairs_considered,pricing_dominance_bucket_pairs_rejected,pricing_dominance_bucket_candidate_pairs,pricing_dominance_compatible_keys_generated,pricing_dominance_compatible_key_lookups,pricing_dominance_bucket_scans_avoided,pricing_dominance_key_generation_time,pricing_dominance_key_cache_hits,pricing_dominance_key_cache_misses,pricing_dominance_small_bypass_calls,pricing_backward_full_dominance_tests,pricing_join_prefilter_pairs,pricing_join_prefilter_rejected,pricing_join_bucket_pairs_considered,pricing_join_bucket_pairs_rejected,pricing_join_bucket_candidate_pairs,pricing_join_compatible_keys_generated,pricing_join_compatible_key_lookups,pricing_join_bucket_scans_avoided,pricing_join_key_generation_time,pricing_join_key_cache_hits,pricing_join_key_cache_misses,pricing_join_graph_build_time,pricing_join_subbucket_pairs_considered,pricing_join_subbucket_pairs_rejected,pricing_join_small_bypass_calls,pricing_join_label_pairs_materialized,pricing_join_full_decodes,pricing_lazy_rejected_before_decode,pricing_fully_decoded_routes,pricing_duplicate_equivalent_rejected,pricing_cost_dominated_rejected,pricing_signature_build_time,pricing_sr_coeff_build_time,pricing_duplicate_lookup_time,pricing_route_decode_time,pricing_reduced_cost_verification_time,pricing_side_pool_routes_returned,pricing_side_pool_reduced_cost_min,route_pool_hydration_time,route_signature_build_time,sr_coeff_build_time,duplicate_lookup_time,rmp_column_insertion_time,progress_serialization_time,signature_cache_hits,signature_cache_misses,core_signature_cache_hits,core_signature_cache_misses,active_signature_cache_hits,active_signature_cache_misses,sr_coeff_cache_hits,sr_coeff_cache_misses,active_sr_key_cache_hits,active_sr_key_cache_misses,active_sr_coeffs_computed,triplet_masks_built,column_index_hits,column_index_misses,column_index_replacements,column_index_refreshes,column_index_refresh_time,active_sr_version_refreshes,active_sr_version_refresh_time,duplicate_equivalent_columns_rejected,cost_dominated_columns_rejected,cost_dominated_columns_removed,total_routes,global_pool_routes,max_node_columns,max_active_sr,max_active_sr_version,branching_nodes,child_nodes_created,customer_pair_branches,service_mode_branches,launch_pad_branches,transformed_arc_branches,route_variable_branches,root_closed,best_reduced_cost_at_stop,adaptive_batch_size_min,adaptive_batch_size_max,adaptive_batch_size_last,adaptive_batch_increases,adaptive_batch_decreases,adaptive_batch_window_ratio,adaptive_batch_low_windows,adaptive_batch_high_windows,certification_pricing_passes,certification_pricing_passes_with_columns,root_productive_pricing_calls,root_extraction_time,root_compact_status,root_model_build_time,root_model_solve_time,root_route_decode_time,root_compact_non_solver_time,rmp_time,phase_i_time,seed_pricing_time,standard_pricing_time,farkas_pricing_time,repair_pricing_time,heuristic_time,heuristic_calls,preclosure_heuristic_calls,preclosure_heuristic_columns_generated,preclosure_heuristic_incumbent_updates,time_to_first_incumbent,heuristic_columns_generated,heuristic_incumbent_updates,heuristic_hard_pool_solves,heuristic_hard_pool_time,heuristic_hard_pool_feasible_solves,heuristic_soft_pool_solves,heuristic_soft_pool_time,heuristic_soft_pool_feasible_solves,heuristic_repair_customers,heuristic_repair_columns_generated,heuristic_max_node_pool_routes,heuristic_max_support_routes,side_pool_routes,side_pool_routes_added,side_pool_routes_pruned,side_pool_max_routes,side_pool_prune_time,side_pool_batch_size_last,selected_trucks,drone_sorties,service_feasible,mean_delay,max_delay,delay_square_sum,truck_served_customers,drone_served_customers,max_payload,waiting_blocks,total_wait_time,mean_wait_time,max_wait_time,last_progress_event,last_progress_node,last_progress_columns,last_progress_active_sr,error
small_full_PS_seed_1,small,full,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.1859442958583672,0.05105000973148316,0.1859442958583672,0.05105000973148316,0.0,0.0,0.0,6038.88333925442,90.124788689334,20.0,0.026420015368423554,0.13494001194704577,0.0,0.010568006147369422,0.04048200358411373,0.0,29.115804195404053,29.09125328063965,0.024550914764404297,0.020311832427978516,29.09398126602173,0.0015110969543457031,0.04111027717590332,1.3337116241455078,8.638723373413086,1,4,,,0,0,0,0,4,0,0,96,0,0,0,0,5955,214,0,90,18,18,0,3263,597,27.54001545906067,13.49486756324768,611,5344,1022594,930,23332,96,0.07765460014343262,1.9942080974578857,0.40093183517456055,860,2,98,752,0,376,98,752,285,91,285,91,0,0,1022594,779917,9538786,8489196,1049590,0,126864,0,0.0,0,0,9840,242677,23332,20232,0,0,23332,0,0,0,0.0,0,0,0.0,0,0,3832,23332,98,3165,98,0,0,0.034720659255981445,0.0,0.03155636787414551,0.011097908020019531,0.003756284713745117,2,-0.22586885599079187,0.0,0.00738978385925293,0.0,0.0021364688873291016,0.06992316246032715,0.05163407325744629,102,204,0,102,102,204,77,25,77,25,0,0,0,96,0,1,0.002005338668823242,0,0.0,0,0,0,104,102,102,0,0,0,0,0,0,0,0,0,True,-2.0816681711721685e-17,64,64,64,0,0,0.0,0,0,0,0,3,1.3182628154754639,success,0.7162656784057617,0.6019971370697021,0.0,0.7162656784057617,0.0309600830078125,0.0,0.0,27.595354795455933,0.0,0.0,0.0,0,0,0,0,1.323291540145874,0,0,0,0.0,0,0,0.0,0,0,0,0,0,2,2,0,2,0.0,0,1,0,True,23.919258531479166,65.88437105085663,6038.883339254419,5,0,27.97,0,0,0.0,0.0,,,,,
medium_full_PS_seed_1,medium,full,PS,1,15,5,2,4,20,time_limit,time_limit,0.025151948543781152,0.0,-0.0842303947820819,0.10938234332586305,0.025151948543781152,4.348861605511989,4.348861605511989,1.0,27055.380888559415,247.04653455225375,40.0,0.006675276695345911,0.07493945955214268,0.0,0.0026701106781383648,0.0224818378656428,0.0,902.3760936260223,902.2469892501831,0.1291043758392334,0.025435924530029297,902.2883169651031,0.062340736389160156,0.05197954177856445,2.9634523391723633,158.60530185699463,1,31,10.0,0.0,7,96,24,6,30,0,25,1283,0,0,0,0,137357,18087,783,248,90,90,0,1471547,30477,873.144969701767,708.4846796989441,68347,69010,44624137,8848,17399708,1464,9.56160593032837,17.23623299598694,167.5657308101654,75442,2,4153,82711,0,40417,4153,82711,19784,20633,19784,20633,0,0,44624137,44245056,987805499,939852975,47952524,0,4109076,0,0.0,0,0,129236,379081,17399708,15940760,0,0,17399708,0,0,0,0.0,0,0,0.0,0,0,92975,17399708,1592,1469955,1592,684,0,2.744717597961426,0.12379169464111328,0.3105173110961914,0.5131175518035889,0.20461177825927734,96,-0.009143832806552468,0.27570009231567383,0.08200192451477051,0.0,0.0,11.185999155044556,2.0630767345428467,6249,2958,0,1479,6249,2958,365,1114,365,1114,0,0,0,1379,0,11,0.14862751960754395,0,0.0,0,0,0,1563,1479,1380,0,0,0,0,0,0,0,0,0,False,-0.0022634190155709413,32,128,128,2,1,0.004671301632178331,1,0,5,5,30,11.108631610870361,timeout,6.04941463470459,5.048904180526733,0.0,6.059727430343628,1.544569730758667,0.0673832893371582,0.48116374015808105,866.5537760257721,0.0,7.429235935211182,8.745341300964355,13,13,85,2,84.89646172523499,85,2,23,0.12965178489685059,2,11,0.07710099220275879,11,25,85,1399,39,96,96,0,96,0.0,0,2,0,True,32.467236524231836,84.21998059939735,27055.380888559415,15,0,49.81,0,0,0.0,0.0,,,,,
large_full_PS_seed_1,large,full,PS,1,25,8,2,4,32,time_limit,time_limit,0.10620515525548033,0.0,-0.10787624230817369,0.21408139756365402,0.10620515525548033,2.0157345191829297,2.0157345191829297,1.0,11619.100537100581,517.9367344948821,146.0,0.0007294163073628813,0.06608810736932018,0.28695652173913044,0.00029176652294515257,0.019826432210796052,0.08608695652173913,901.358535528183,901.1378076076508,0.22072792053222656,0.031040430068969727,901.2399761676788,0.08751893043518066,0.10238361358642578,2.9520492553710938,64.4983959197998,1,52,17.0,0.0,11,160,73,10,51,0,79,2348,0,0,0,0,252375,24192,518,72,0,0,0,2676110,12650,814.3690075874329,116.24294805526733,105228,147147,12929887,4317,4531066,3187,14.177063941955566,40.4316611289978,298.40862369537354,116406,2,18415,412378,0,201745,18415,412378,137549,64196,137549,64196,0,0,12929887,12307387,479347095,466286692,13060403,0,15166105,0,0.0,0,0,289751,622500,4531066,1857848,0,0,4531066,0,0,0,0.0,0,0,0.0,0,0,166284,4531066,3607,2672503,3607,5917,0,11.93010139465332,0.4606645107269287,1.011949062347412,1.172370433807373,0.4019498825073242,279,-0.006321728514499643,0.865410327911377,0.267364501953125,0.012584686279296875,0.0,41.49037504196167,6.233885049819946,24019,6424,0,3212,24019,6424,730,2482,730,2482,0,0,0,2508,0,17,0.5923030376434326,0,0.0,0,0,0,3470,3212,3200,0,0,0,0,0,0,0,0,0,False,-0.0007693649514075116,32,128,128,2,1,0.04012845950873459,1,0,10,10,51,24.97098731994629,timeout,19.771215438842773,5.169018507003784,0.015253543853759766,19.801968812942505,4.343058109283447,0.14385604858398438,1.4774706363677979,677.4047451019287,0.0,137.62117981910706,143.62410235404968,25,25,679,1,29.142739295959473,679,1,41,0.28407835960388184,1,24,0.3230619430541992,24,69,679,3458,56,278,278,0,278,0.0,0,7,1,True,13.65444282556532,64.36772011416926,11619.100537100583,24,1,42.14,1,1.7461853157454938,1.7461853157454938,1.7461853157454938,,,,,
