case_id,distribution,seed,transformed_arcs,snapshot_sha256,bpc_status,bpc_objective,bpc_bound,bpc_gap,bpc_runtime,bpc_nodes,bpc_root_validated,compact_status,compact_status_code,compact_objective,compact_bound,compact_gap,compact_runtime,compact_nodes,bpc_valid,compact_valid,bpc_gurobi_version,compact_gurobi_version
pilot25_PS_seed101,PS,101,243,25622529e128a3d0eddd607134dd1c1859c618dc628802533c5aa3ea1a2da731,optimal,0.15517229135272745,0.15517229135272745,0.0,160.43650364875793,1,True,time_limit_with_incumbent,9,0.16891499038941069,-0.0717278759516405,1.4246389014159229,600.186726808548,98859.0,True,True,12.0.1,12.0.1
pilot25_PS_seed102,PS,102,238,d4feed02e32ff1fda182b84f2a92ac758499fae90ac26ec1cf97729791c30561,optimal,0.13624702769430905,0.13624702769430905,0.0,79.77784395217896,1,True,time_limit_with_incumbent,9,0.1362470276943047,0.042666611403057476,0.6868437269781189,600.195240020752,47772.0,True,True,12.0.1,12.0.1
pilot25_PC_seed105,PC,105,298,69d62224ef0e59baeab01e96633d99edb9d945fc5d564dafd43e823f4f2b33b7,optimal,0.11433254414753699,0.11433254414753699,0.0,104.36322259902954,1,True,time_limit_with_incumbent,9,0.11443803826097432,-0.1291111384552748,2.128218732313802,600.1904294490814,56352.0,True,True,12.0.1,12.0.1
pilot25_PC_seed106,PC,106,293,143055618a46947242c940cbf81560f2c182a6a21dbb8fa1a0183768957ac696,optimal,0.1252904063560579,0.1252904063560579,0.0,440.6856896877289,1,True,time_limit_with_incumbent,9,0.13118934476690625,-0.07781013220574236,1.5931132009538833,600.2208008766174,30897.0,True,True,12.0.1,12.0.1
