case_id,scale,variant,distribution,seed,customers,trucks,hubs,drones_per_truck,total_drones,status,solver_status,objective_full,gap,runtime_seconds,nodes_processed,rmp_solves,phase_i_solves,phase_i_columns_added,phase_i_uncovered_customers,standard_pricing_calls,farkas_pricing_calls,columns_added_standard,columns_added_farkas,sr_cuts_added,pricing_labels_generated,pricing_labels_dominated,pricing_labels_pruned,pricing_complete_routes_generated,pricing_max_queue_size,total_routes,rmp_time,phase_i_time,standard_pricing_time,farkas_pricing_time,heuristic_time,selected_trucks,drone_sorties,service_feasible,mean_delay,max_delay,mean_wait_time,max_wait_time,last_progress_event,last_progress_node,last_progress_columns,last_progress_active_sr,error
small_full_PS_seed_1,small,full,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.0,2.344247579574585,1,10,0,0,0,10,0,35,0,0,2531,484,197,781,57,41,0.04210996627807617,0.0,0.6991176605224609,0.0,0.0,1,0,True,23.919258531479166,65.88437105085663,0.0,0.0,,,,,
medium_full_PS_seed_1,medium,full,PS,1,15,5,2,4,20,time_limited_external,time_limited_external,,,900.0407936573029,,131,0,0,0,130,0,520,0,0,740992,112167,0,150131,11572,0,2.687074899673462,0.0,754.5154166221619,0.0,0.0,,,,,,,,rmp_solved,1,538,0,worker exceeded external timeout of 900.0 seconds
large_full_PS_seed_1,large,full,PS,1,25,8,2,4,32,time_limited_external,time_limited_external,,,900.0301237106323,,124,10,36,59,122,0,488,0,0,398857,61911,0,51511,10406,0,3.019728422164917,0.12400078773498535,292.8007297515869,0.0,0.0,,,,,,,,rmp_solved,1,549,0,worker exceeded external timeout of 900.0 seconds
