case_id,scale,variant,distribution,seed,customers,trucks,hubs,drones_per_truck,total_drones,status,solver_status,objective_full,lower_bound_shifted,lower_bound_full,upper_bound_shifted,upper_bound_full,gap,gap_full,gap_shifted,raw_delay_square_sum,raw_return_time_sum,raw_operating_cost,normalized_delay,normalized_return_time,normalized_cost,weighted_delay,weighted_return_time,weighted_cost,runtime_seconds,bpc_runtime_seconds,worker_overhead_seconds,instance_generation_time_seconds,bpc_wall_time_seconds,service_metrics_time_seconds,output_write_time_seconds,python_current_allocated_mb,python_peak_allocated_mb,nodes_processed,rmp_solves,farkas_certificate_rhs,farkas_certificate_max_column_activity,phase_i_solves,phase_i_columns_added,phase_i_uncovered_customers,seed_pricing_calls,standard_pricing_calls,farkas_pricing_calls,repair_pricing_calls,columns_added_standard,columns_added_farkas,duplicate_columns_rejected,duplicate_merge_events,sr_cuts_added,pricing_labels_generated,pricing_labels_dominated,pricing_labels_purged,pricing_stale_labels_skipped,pricing_labels_pruned,pricing_standard_bound_pruned,pricing_farkas_bound_pruned,pricing_complete_routes_generated,pricing_max_queue_size,pricing_diagnostics_elapsed_seconds,pricing_max_call_elapsed_seconds,pricing_forward_labels_generated,pricing_backward_labels_generated,pricing_backward_labels_dominated,pricing_join_pairs_tested,pricing_joined_routes_accepted,pricing_forward_labeling_time,pricing_backward_labeling_time,pricing_join_time,pricing_parallel_calls,pricing_parallel_workers_max,total_routes,global_pool_routes,max_node_columns,max_active_sr,branching_nodes,child_nodes_created,customer_pair_branches,service_mode_branches,launch_pad_branches,transformed_arc_branches,route_variable_branches,root_extraction_time,root_model_build_time,root_model_solve_time,root_route_decode_time,root_compact_non_solver_time,rmp_time,phase_i_time,seed_pricing_time,standard_pricing_time,farkas_pricing_time,repair_pricing_time,heuristic_time,heuristic_calls,heuristic_columns_generated,heuristic_incumbent_updates,heuristic_hard_pool_solves,heuristic_hard_pool_time,heuristic_hard_pool_feasible_solves,heuristic_soft_pool_solves,heuristic_soft_pool_time,heuristic_soft_pool_feasible_solves,heuristic_repair_customers,heuristic_repair_columns_generated,heuristic_max_node_pool_routes,heuristic_max_support_routes,selected_trucks,drone_sorties,service_feasible,mean_delay,max_delay,delay_square_sum,truck_served_customers,drone_served_customers,max_payload,waiting_blocks,total_wait_time,mean_wait_time,max_wait_time,last_progress_event,last_progress_node,last_progress_columns,last_progress_active_sr,error
small_full_PS_seed_1,small,full,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.1859442958583672,0.05105000973148316,0.1859442958583672,0.05105000973148316,0.0,0.0,0.0,6038.883339254419,90.124788689334,20.0,0.026420015368423547,0.13494001194704577,0.0,0.01056800614736942,0.04048200358411373,0.0,15.207028150558472,15.172832727432251,0.0341954231262207,0.028002023696899414,15.176026344299316,0.0029997825622558594,0.004999876022338867,1.3801860809326172,9.430755615234375,1,5,,,0,0,0,0,5,0,0,51,0,0,0,0,13710,237,0,0,20,20,0,7053,1295,13.441627025604248,4.659251928329468,658,13052,0,64530,51,0.07300996780395508,2.352069139480591,5.73754358291626,3281,2,57,57,57,0,0,0,0,0,0,0,0,1.401665449142456,0.7621879577636719,0.6354775428771973,0.0019998550415039062,0.7661879062652588,0.03199172019958496,0.0,0.0,13.539655447006226,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,True,23.919258531479166,65.88437105085663,6038.883339254419,5,0,27.970000000000002,0,0,0.0,0.0,,,,,
medium_full_PS_seed_1,medium,full,PS,1,15,5,2,4,20,time_limited_external,time_limited_external,,,,,,,,,,,,,,,,,,120.00881385803223,,,,,,,,,,27,,,0,0,0,0,26,0,0,416,0,0,0,0,9380,1618,0,0,0,0,0,12325,335,32.68259286880493,2.3978655338287354,4719,4661,0,19069,416,0.5106282234191895,0.3065831661224365,5.954982042312622,1262,2,433,433,433,0,0,0,0,0,0,0,0,11.67548942565918,6.592908620834351,5.066068649291992,0.005999565124511719,6.6094207763671875,0.4529585838317871,0.0,0.0,33.649317502975464,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,rmp_solved,1,433,0,worker exceeded parent timeout of 120.0 seconds including 0.0 seconds of logging grace
large_full_PS_seed_1,large,full,PS,1,25,8,2,4,32,time_limited_external,time_limited_external,,,,,,,,,,,,,,,,,,120.07852673530579,,,,,,,,,,4,17.0,0.0,11,160,73,10,2,0,0,32,0,0,0,0,1783,58,0,0,0,0,0,460,232,11.552898168563843,2.4519400596618652,685,1098,0,1258,192,0.07006263732910156,0.05595588684082031,0.37354493141174316,118,2,217,217,217,0,0,0,0,0,0,0,0,24.122811317443848,18.94648051261902,5.162331819534302,0.0,18.960479497909546,0.05328011512756348,0.16009187698364258,7.482669115066528,4.333277702331543,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,rmp_solved,1,217,0,worker exceeded parent timeout of 120.0 seconds including 0.0 seconds of logging grace
