case_id,scale,variant,distribution,seed,customers,trucks,hubs,drones_per_truck,total_drones,status,solver_status,objective_full,gap,raw_delay_square_sum,raw_return_time_sum,raw_operating_cost,normalized_delay,normalized_return_time,normalized_cost,weighted_delay,weighted_return_time,weighted_cost,runtime_seconds,bpc_runtime_seconds,worker_overhead_seconds,python_current_allocated_mb,python_peak_allocated_mb,nodes_processed,rmp_solves,phase_i_solves,phase_i_columns_added,phase_i_uncovered_customers,seed_pricing_calls,standard_pricing_calls,farkas_pricing_calls,repair_pricing_calls,columns_added_standard,columns_added_farkas,sr_cuts_added,pricing_labels_generated,pricing_labels_dominated,pricing_labels_pruned,pricing_complete_routes_generated,pricing_max_queue_size,pricing_diagnostics_elapsed_seconds,pricing_max_call_elapsed_seconds,total_routes,global_pool_routes,max_node_columns,max_active_sr,root_extraction_time,root_model_build_time,root_model_solve_time,root_route_decode_time,root_compact_non_solver_time,rmp_time,phase_i_time,seed_pricing_time,standard_pricing_time,farkas_pricing_time,repair_pricing_time,heuristic_time,heuristic_calls,heuristic_columns_generated,heuristic_incumbent_updates,heuristic_hard_pool_solves,heuristic_hard_pool_time,heuristic_hard_pool_feasible_solves,heuristic_soft_pool_solves,heuristic_soft_pool_time,heuristic_soft_pool_feasible_solves,heuristic_repair_customers,heuristic_repair_columns_generated,heuristic_max_node_pool_routes,heuristic_max_support_routes,selected_trucks,drone_sorties,service_feasible,mean_delay,max_delay,delay_square_sum,truck_served_customers,drone_served_customers,max_payload,waiting_blocks,total_wait_time,mean_wait_time,max_wait_time,last_progress_event,last_progress_node,last_progress_columns,last_progress_active_sr,error
small_full_PS_seed_1,small,full,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.0,6038.88333925442,90.124788689334,20.0,0.026420015368423554,0.13494001194704577,0.0,0.010568006147369422,0.04048200358411373,0.0,1.6101841926574707,1.5831825733184814,0.027001619338989258,0.8193740844726562,1.0533761978149414,1,5,0,0,0,0,5,0,0,51,0,0,1129,316,42,338,53,0.24056077003479004,0.06551885604858398,57,57,57,0,1.1831114292144775,0.814896821975708,0.36521363258361816,0.0010008811950683594,0.8178977966308594,0.02599811553955078,0.0,0.0,0.24155879020690918,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,True,23.919258531479166,65.88437105085663,6038.883339254419,5,0,27.97,0,0,0.0,0.0,,,,,
small_no_pricing_pruning_PS_seed_1,small,no_pricing_pruning,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.0,6038.88333925442,90.124788689334,20.0,0.026420015368423554,0.13494001194704577,0.0,0.010568006147369422,0.04048200358411373,0.0,1.9364433288574219,1.915442705154419,0.02100062370300293,0.8568172454833984,1.1232309341430664,1,7,0,0,0,0,7,0,0,69,0,0,1869,528,0,642,18,0.3075134754180908,0.059998273849487305,75,75,75,0,1.3688488006591797,0.7351572513580322,0.6306920051574707,0.0009982585906982422,0.738156795501709,0.03499412536621094,0.0,0.0,0.30951499938964844,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,True,23.919258531479166,65.88437105085663,6038.883339254419,5,0,27.97,0,0,0.0,0.0,,,,,
small_no_root_extraction_PS_seed_1,small,no_root_extraction,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.0,6038.88333925442,90.124788689334,20.0,0.026420015368423554,0.13494001194704577,0.0,0.010568006147369422,0.04048200358411373,0.0,0.5736973285675049,0.5516946315765381,0.022002696990966797,0.8544130325317383,1.2183265686035156,1,6,2,16,3,1,5,0,0,54,0,0,1501,342,39,482,64,0.31013941764831543,0.09809732437133789,75,75,75,0,0.0,0.0,0.0,0.0,0.0,0.03300189971923828,0.007001161575317383,0.014997720718383789,0.2971377372741699,0.0,0.0,0.005003213882446289,1,0,1,1,0.00400233268737793,1,0,0.0,0,0,0,75,12,1,0,True,23.919258531479166,65.88437105085663,6038.883339254419,5,0,27.97,0,0,0.0,0.0,,,,,
