case_id,scale,variant,distribution,seed,customers,trucks,hubs,drones_per_truck,total_drones,status,solver_status,objective_full,lower_bound_shifted,lower_bound_full,upper_bound_shifted,upper_bound_full,gap,gap_full,gap_shifted,raw_delay_square_sum,raw_return_time_sum,raw_operating_cost,normalized_delay,normalized_return_time,normalized_cost,weighted_delay,weighted_return_time,weighted_cost,runtime_seconds,bpc_runtime_seconds,worker_overhead_seconds,instance_generation_time_seconds,bpc_wall_time_seconds,service_metrics_time_seconds,output_write_time_seconds,python_current_allocated_mb,python_peak_allocated_mb,nodes_processed,rmp_solves,farkas_certificate_rhs,farkas_certificate_max_column_activity,phase_i_solves,phase_i_columns_added,phase_i_uncovered_customers,seed_pricing_calls,standard_pricing_calls,farkas_pricing_calls,repair_pricing_calls,columns_added_standard,columns_added_farkas,duplicate_columns_rejected,duplicate_merge_events,sr_cuts_added,pricing_labels_generated,pricing_labels_dominated,pricing_labels_purged,pricing_stale_labels_skipped,pricing_labels_pruned,pricing_standard_bound_pruned,pricing_farkas_bound_pruned,pricing_complete_routes_generated,pricing_max_queue_size,pricing_diagnostics_elapsed_seconds,pricing_max_call_elapsed_seconds,pricing_forward_labels_generated,pricing_backward_labels_generated,pricing_backward_dominance_tests,pricing_backward_labels_dominated,pricing_join_pairs_tested,pricing_joined_routes_accepted,pricing_forward_labeling_time,pricing_backward_labeling_time,pricing_join_time,pricing_parallel_calls,pricing_parallel_workers_max,total_routes,global_pool_routes,max_node_columns,max_active_sr,branching_nodes,child_nodes_created,customer_pair_branches,service_mode_branches,launch_pad_branches,transformed_arc_branches,route_variable_branches,root_extraction_time,root_model_build_time,root_model_solve_time,root_route_decode_time,root_compact_non_solver_time,rmp_time,phase_i_time,seed_pricing_time,standard_pricing_time,farkas_pricing_time,repair_pricing_time,heuristic_time,heuristic_calls,heuristic_columns_generated,heuristic_incumbent_updates,heuristic_hard_pool_solves,heuristic_hard_pool_time,heuristic_hard_pool_feasible_solves,heuristic_soft_pool_solves,heuristic_soft_pool_time,heuristic_soft_pool_feasible_solves,heuristic_repair_customers,heuristic_repair_columns_generated,heuristic_max_node_pool_routes,heuristic_max_support_routes,selected_trucks,drone_sorties,service_feasible,mean_delay,max_delay,delay_square_sum,truck_served_customers,drone_served_customers,max_payload,waiting_blocks,total_wait_time,mean_wait_time,max_wait_time,last_progress_event,last_progress_node,last_progress_columns,last_progress_active_sr,error
small_full_PS_seed_1,small,full,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.1859442958583672,0.05105000973148316,0.1859442958583672,0.05105000973148316,0.0,0.0,0.0,6038.883339254419,90.124788689334,20.0,0.026420015368423547,0.13494001194704577,0.0,0.01056800614736942,0.04048200358411373,0.0,21.819836139678955,21.792836904525757,0.026999235153198242,0.023999929428100586,21.79383635520935,0.0019998550415039062,0.003999948501586914,1.2557830810546875,8.273094177246094,1,5,,,0,0,0,0,5,0,0,47,0,0,0,0,7047,243,1,102,22,22,0,3148,597,20.255847930908203,9.222964763641357,681,6366,1149392,1210,27572,47,0.06899356842041016,2.043363094329834,2.5146820545196533,1562,2,53,53,53,0,0,0,0,0,0,0,0,1.315467357635498,0.707369327545166,0.6060986518859863,0.00099945068359375,0.7093687057495117,0.02300286293029785,0.0,0.0,20.324359893798828,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,True,23.919258531479166,65.88437105085663,6038.883339254419,5,0,27.97,0,0,0.0,0.0,,,,,
medium_full_PS_seed_1,medium,full,PS,1,15,5,2,4,20,time_limit,time_limit,0.08051232227514783,0.0,-0.0842303947820819,0.16474271705722973,0.08051232227514783,2.046180167232386,2.046180167232386,1.0,67938.86961602632,351.790313442616,60.0,0.016762312640284268,0.11269132406344712,0.13333333333333333,0.006704925056113708,0.033807397219034134,0.04,900.8878338336945,900.8408343791962,0.046999454498291016,0.026999711990356445,900.8508341312408,0.009999990463256836,0.01399993896484375,1.695450782775879,53.9308385848999,1,48,,,0,0,0,0,48,0,0,753,0,0,0,0,67396,8281,179,21,0,0,0,407259,2329,660.6104323863983,55.12237358093262,35859,31537,1428478,3682,756285,753,3.8572463989257812,6.514756917953491,167.0606255531311,11603,2,770,770,769,0,0,0,0,0,0,0,0,10.693739175796509,5.624554872512817,5.0561840534210205,0.0030002593994140625,5.637555122375488,1.2753314971923828,0.0,0.0,664.9517879486084,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,3,0,True,54.387917322002416,128.65946708646422,67938.86961602632,15,0,48.10000000000001,0,0,0.0,0.0,,,,,
large_full_PS_seed_1,large,full,PS,1,25,8,2,4,32,time_limited_internal,time_limited_internal,,0.0,-0.10787624230817369,,,,,,,,,,,,,,,903.0519373416901,903.01194190979,0.039995431900024414,0.0279998779296875,903.01194190979,,0.012136220932006836,2.8874006271362305,178.63147068023682,1,29,17.0,0.0,11,160,73,10,28,0,0,433,0,0,0,0,17827,1448,8,0,0,0,0,27844,681,225.67177724838257,14.897547483444214,7778,10049,95102,150,38232,593,0.8168787956237793,1.8857777118682861,11.817656517028809,1541,2,618,618,617,0,0,0,0,0,0,0,0,23.957758903503418,18.786389350891113,5.154370069503784,0.0,18.803388833999634,0.7540347576141357,0.13262557983398438,6.938773155212402,227.70901441574097,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,,,,,,,,,,,,,,time_limit_node_unresolved,1,618,0,BPC time limit reached before a feasible incumbent was found
